SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
06-1000	RENAULT-DACIA	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT CLIO III- MODUS - DACIA LOGAN SANDERO		479101292R - 8200419177	102-084			
06-1001	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT KANGOO II		8200441401 - 479109860R	102-084			
06-1002	RENAULT OPEL	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT MASTER II DIZEL ( 00-... ) OPEL MOVANO A ( ON SAG-SOL )		8200274800 - 8200252007	102-097			
06-1003	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT MEGANE II-SCENIC II ***(YENI SOKETLI)		8200404460	102-084			
06-1004	RENAULT	(ÖN SAĞ-SOL	ABS SENSORU RENAULT MEGANE II-SCENIC II ***(YUVARLAK SOKETLI)		8200446282	102-097			
06-1005	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT MEGANE II-SCENIC II ***(YUVARLAK SOKETLI)		8200346992 - 8200043135	102-097			
06-1006	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT MEGANE I		7700429113	102-096			
06-1007	RENAULT	(ARKA SOL)	ABS SENSORU RENAULT MEGANE I ***(1100 OHM)		7700834761	102-096			
06-1008	RENAULT	(ARKA SAĞ)	ABS SENSORU RENAULT MEGANE I-SCENIC I ***(1050 OHM)		7700834762	102-096			
06-1009	RENAULT	(ARKA SAĞ-SOL)	ABS SENSORU RENAULT MASTER II		8200274801 - 8200037443	102-097			
06-1010	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT TRAFIC II ***(YENI SOKET)		8200675748 - 479102845R	102-084			
06-1011	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT TRAFIC II ***(YUVARLAK SOKETLI)		8200583498 - 8200003512	102-097			
06-1012	RENAULT-DACIA	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT FLUENCE-MEGANE III-SCENIC III - DACIA DUSTER		479109155R	102-084			
06-1013	RENAULT	(ARKA SAĞ-SOL)	ABS SENSORU RENAULT MEGANE II-SCENIC II		8200416683	102-084			
06-1014	RENAULT-MERCEDES	(ARKA SAĞ)	ABS SENSORU RENAULT KANGOO II - MERCEDES-BENZ 2008		479502046R - 8200441404	102-084			
06-1015	RENAULT	(ARKA SAĞ-SOL)	ABS SENSORU RENAULT MEGANE II SCENIC II 1.5 DCI 1.9 DCI ***(YUVARLAK SOKET)		8200296571 - 8200043136	102-097			
06-1016	RENAULT	(ARKA SOL)	ABS SENSORU RENAULT CLIO II-SYMBOL		7700411745 - 7700415682	102-097			
06-1017	DACIA	(ARKA SOL)	ABS SENSORU DACIA LOGAN I-SANDERO I		8200752604 - 479000527R	102-084			
06-1018	DACIA	(ARKA SAĞ)	ABS SENSORU DACIA LOGAN I-SANDERO I		8200752605 - 479007380R	102-084			
06-1019	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT LAGUNA		7700416066	102-097			
06-1020	RENAULT - DACIA	(ARKA SOL)	ABS SENSORU RENAULT CLIO III-LOGAN-MODUS- DACIA SANDERO		8200195828	102-084			
06-1021	RENAULT	(ARKA SAĞ)	ABS SENSORU RENAULT SYMBOL II		479001745R	102-097			
06-1022	RENAULT-DACIA	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT SYMBOL- DACIA DOKKER-LODGY-LOGAN-SANDERO		479104225R - 479104991R	102-084			
06-1023	RENAULT	(ARKA SAĞ-SOL)	ABS SENSORU RENAULT MEGANE III-SCENIC III-FLUENCE		479006271R - 479000010R	102-084			
06-1024	RENAULT	(ARKA SAĞ-SOL)	ABS SENSORU RENAULT LAGUNA II		8200084126 - 8200001587	102-097			
06-1025	RENAULT-DACIA	(ARKA SOL)	ABS SENSORU RENAULT SYMBOL- DACIA SANDERO-LOGAN		479005846R - 479008777R	102-084-1			
06-1026	DACIA	(ARKA SAĞ)	ABS SENSORU DACIA DUSTER 4×2		479505873R - 8200862228	102-084			
06-1027	DACIA	(ARKA SOL)	ABS SENSORU DACIA DUSTER 4×2		479007637 - 479007637R	102-084			
06-1028	DACIA	(ARKA SAĞ-SOL)	ABS SENSORU DACIA DUSTER 4×4		479501102R - 479502124R	102-084			
06-1029	DACIA	(ARKA SOL)	ABS SENSORU DACIA LODGY-DOKKER		479003753R	102-084-1			
06-1030	RENAULT	(ARKA SAĞ)	ABS SENSORU RENAULT TWINGO II		8200457358 - 479003807R	102-084			
06-1031	RENAULT	(ARKA SAĞ)	ABS SENSÖRÜ RENAULT LAGUNA		7700416065	102-097			
06-1032	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT MASTER III		8200735314	102-084			
06-1033	RENAULT	(ARKA SAĞ-SOL)	ABS SENSORU RENAULT TRAFIC II ***(YUVARLAK SOKET)		8200724127 - 8200003513	102-097			
06-1034	RENAULT - DACIA	(ARKA SAĞ)	ABS SENSORU RENAULT SYMBOL- DACIA LOGAN-SANDERO		479007700R - 479009767R	102-084-1			
06-1035	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT TWINGO		7700830227	102-096			
06-1036	RENAULT - MERCEDES	(ARKA SOL)	ABS SENSORU RENAULT KANGOO II - MERCEDES-BENZ 2008		8200441403 - 479000026R	102-084			
06-1037	RENAULT	(ARKA SOL)	ABS SENSORU RENAULT CLIO IV-CAPTUR		479006998R - 479001852R	102-084			
06-1038	RENAULT	(ARKA SAĞ)	ABS SENSORU RENAULT CLIO IV-CAPTUR		479502178R - 479007376R	102-084			
06-1039	RENAULT-OPEL	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT MASTER III - OPEL MOVANO B		8200735319 - 4421334	102-084			
06-1040	RENAULT	(ÖN SAĞ)	ABS SENSORU RENAULT LAGUNA I		7700846638 - 7700823326	102-096			
06-1041	RENAULT	(ARKA SAĞ-SOL)	ABS SENSORU RENAULT MEGANE IV-SCENIC IV		479000931R	102-084			
06-1042	RENAULT-OPEL	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT TRAFIC III - OPEL VIVARO B ***(YENİ SOKET)		479108892R - 4422416	102-084			
06-1043	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT CLIO II-KANGOO I-SYMBOL-TWİNGO I		8200186294	102-097			
06-1044	RENAULT	(ARKA SOL)	ABS SENSORU RENAULT KANGOO I		8200212695 - 6040004810	102-097			
06-1045	RENAULT	(ARKA SAĞ)	ABS SENSORU RENAULT KANGOO I		8200212696 - 6040004809	102-097			
06-1046	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT CLIO IV-CAPTUR		479107405R - 479101995R	102-084			
06-1047	RENAULT	(ARKA SAĞ-SOL)	ABS SENSORU RENAULT MASTER III		8200735315	102-084			
06-1048	RENAULT	(ARKA SAĞ)	ABS SENSORU RENAULT CLIO II		7700411746 - 7700415683	102-096			
06-1049	RENAULT - DACIA	(ARKA SAĞ)	ABS SENSORU DACIA LOGAN-SANDERO - RENAULT TWINGO		8200254688 - 6040004543	102-097			
06-1050	RENAULT - DACIA	(ARKA SOL)	ABS SENSORU DACIA LOGAN-SANDERO - RENAULT TWINGO		8200254687 - 6040004542	102-097			
06-1051	RENAULT	(ÖN SAĞ-SOL)	ABS SENSORU RENAULT MEGANE IV - TALİSMAN		479103473R	102-084			
06-1052	RENAULT- OPEL	(ARKA SAĞ-SOL)	ABS SENSORU RENAULT TRAFIC II - OPEL VIVARO A ***(YENİ SOKET)		8200675755 - 479008381R	102-084			
06-1053	RENAULT	(SAĞ ARKA)	ABS SENSORU RENAULT CLIO III - MODUS		8200195830 - 479009927R	102-096			
06-1054	RENAULT	(ÖN-SAĞ)	ABS SENSORU RENAULT LAGUNA III		479100001N	102-084			
06-1055	RENAULT	(ÖN-SOL)	ABS SENSORU RENAULT LAGUNA III		479110001N 009115064	102-084			
06-1100	FIAT-PEUGEOT	(ÖN SAĞ-SOL)	ABS SENSORU FIAT DUCATO II/III- PEUGEOT BOXER-RELAY		59232005 - 46776188	102-097			
06-1101	FIAT	(ÖN SOL)	ABS SENSORU FIAT DOBLO I		46740217 - 46811205	102-097			
06-1102	FIAT	(ARKA SAĞ)	ABS SENSORU FIAT FIORINO III-LINEA		51782490 - 52081840	102-044			
06-1103	FIAT	(ÖN SAĞ-SOL)	ABS SENSORU FIAT FIORINA III-GRANDE PUNTO-LINEA-PUNTO II/III		51763164 - 52081843	102-044			
06-1104	FIAT-PEUGEOT	(ARKA SAĞ-SOL)	ABS SENSORU FIAT DUCATO III -PEUGEOT BOXER RELAY II		52057984 - 51725100	102-044			
06-1105	FIAT	(ARKA SOL)	ABS SENSORU FIAT FIORINA III-LINEA		52056373 - 51763165	102-044			
06-1106	FIAT	(ÖN SAĞ)	ABS SENSORU FIAT DOBLO I		46740213	102-097			
06-1107	FIAT-OPEL	(ÖN SAĞ-SOL)	ABS SENSORU FIAT GRANDE PUNTO-PUNTO III- OPEL CORSA D -CORSA E		55700425 - 52012825	102-044			
06-1107-1	FIAT-OPEL	(ÖN SAĞ-SOL)	ABS SENSORU FIAT GRANDE PUNTO-PUNTO III- OPEL CORSA D -CORSA E		1238399 - 13381153	102-044			
06-1108	FIAT-OPEL	(ARKA SAĞ-SOL)	ABS SENSORU FIAT GRANDE PUNTO-PUNTO III - OPEL CORSA D -CORSA E		55701387 - 55703974	102-044			
06-1109	FIAT-OPEL	(ARKA SAĞ-SOL)	ABS SENSORU FIAT GRANDE PUNTO-PUNTO EVO III - OPEL CORSA D HB		55700426 - 52012826	102-044			
06-1110	FIAT	(ARKA SAĞ-SOL)	ABS SENSORU FIAT PANDA II		51713211 - 51791153	102-044			
06-1111	FIAT	(ARKA SOL)	ABS SENSORU FIAT DUCATO II		46809774	102-097			
06-1112	FIAT	(ARKA SAĞ)	ABS SENSORU FIAT DUCATO II		46809773	102-096			
06-1113	FIAT	(ÖN SOL)	ABS SENSORU FIAT MAREA		46441568 - 464415680	102-096			
06-1114	FIAT	(ÖN SAĞ)	ABS SENSORU FIAT MAREA		46441569 - 464415690	102-096			
06-1115	FIAT	(ARKA SAĞ-SOL)	ABS SENSORU FIAT DOBLO		46814965 - 8290167	102-097			
06-1116	FIAT	(ÖN SOL)	ABS SENSORU FIAT MAREA		46763852 - 60816027	102-097			
06-1117	FIAT	(ÖN SOL)	ABS SENSORU FIAT BRAVO		46532098 - 46532100	102-097			
06-1118	FIAT	(ÖN SAĞ)	ABS SENSORU FIAT BRAVO		46532099 - 46532101	102-097			
06-1119	FIAT-PEUGEOT	(ÖN SAĞ-SOL)	ABS SENSORU FIAT DUCATO II - PEUGEOT BOXER		51725099 - 52091136	102-044			
06-1120	FIAT	(ÖN SAĞ-SOL)	ABS SENSORU FIAT BRAVO II		51792165	102-044			
06-1121	FIAT	(ARKA SAĞ-SOL)	ABS SENSORU FIAT BRAVO II		51792166 - 51702646	102-044			
06-1122	FIAT	(ARKA SAĞ-SOL)	ABS SENSORU FIAT EGEA		51986776	102-044			
06-1123	FIAT	(ÖN SAĞ-SOL )	ABS SENSORU FIAT EGEA		51986775 - 52070364	102-044			
06-1124	FIAT	(ÖN SAĞ-SOL)	ABS SENSORU FIAT DOBLO II		51816797 - 52081844	102-044			
06-1125	FIAT	(ARKA SAĞ-SOL)	ABS SENSORU FIAT DOBLO II		51840249 - 52081845	102-044			
06-1126	FIAT	(ÖN SOL)	ABS SENSORU FIAT ALBEA -PALIO -SIENA		46783183	102-097			
