SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
46-0001	VOLKSWAGEN	CAM ANAHTARI	CAM ANAHTAR CERCEVESI ( SIYAH ) VW POLO		6N0959549A				
46-0002	VOLKSWAGEN	CAM ANAHTARI	CAM ANAHTAR CERCEVESI ( BEJ ) VW POLO		6N0959549A				
46-1000	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT R9-R11 (5 PIN) ( AN-701 )		AN-701 7700705925 7700673247 7701349408				
46-1001	RENAULT	CAM ANAHTARI	CAM ANAHTARI SAG RENAULT R19 (6 PIN) ( AN-703 )		AN-703 7700817337 7700817338				
46-1002	RENAULT	CAM ANAHTARI	CAM ANAHTARI SOL RENAULT R19   (5 PIN) ( AN-704 )		AN 704 7700817339				
46-1005-1	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT CLIO-KANGOO-MEGANE I *** SİYAH ***5 FİŞLİ		7700430000				
46-1005-1-G	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT CLIO-KANGOO-MEGANE I *** GRİ ***5 FİŞLİ (AN-707)		AN-707 7700838099				
46-1005-2	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT CLIO-KANGOO-MEGANE I *** SİYAH ***5 FİŞLİ		8200199223				
46-1005-3	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE I- CLIO I-II- KANGOO *** SİYAH ***5 FİŞLİ		7700838100 - 7700838102 - 7700421118 - 8200467793				
46-1006-1	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT CLIO- KANGOO- MEGANE I *** SİYAH *** 6 FİŞLİ		7700429998				
46-1006-1-G	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT CLIO- KANGOO- MEGANE I *** GRİ *** 6 FİŞLİ (AN-708)		7700421119				
46-1006-3	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT CLIO- KANGOO- MEGANE I *** SİYAH *** 6 FİŞLİ		7700838101 - 7700421120				
46-1006-4	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT CLIO I- KANGOO- MEGANE I *** SİYAH *** 6 FİŞLİ		7700429998				
46-1006-4-G	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT CLIO II- KANGOO- MEGANE I *** GRİ *** 6 FİŞLİ		7700838098				
46-1007	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT KANGOO-MEGANE  ***SOL AUTO 5 PIN ( AN-712 )		AN-712 7700307605 8200090316				
46-1008	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE II *** OTANTIK *** SAG ON 6 PIN ( AN-713 )		AN-713 - 8200414961				
46-1009	RENAULT-OPEL	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE II **OTANTIK - TRAFIC II / VIVARO  **ON SOL  **SİYAH 10 PIN ( AN-714 )		AN-714 - 8200315034 - 8200057319 - 4408720				
46-1009-1	RENAULT-OPEL	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE II - SCENIC II - MASTER III & OPEL MOVANO  ***MAVİ 10 PIN ( AN-714B )		AN-714B - 8200108269 - 93858398				
46-1009-2	RENAULT-OPEL	CAM ANAHTARI	CAM ANAHTARI RENAULT MASTER III - KANGOO III  ***SIYAH 10 PIN ( AN-714C )		AN-714C 8200476806				
46-1010	RENAULT-OPEL	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE II - TRAFIC II & OPEL VIVARO  **KAHVERENGİ **SAG ON 6 PIN ( AN-715 )		AN-715 - 8200057321 - 8200242600 - 91166602				
46-1010-1	RENAULT-OPEL	CAM ANAHTARI	CAM ANAHTARI RENAULT KANGOO III - MASTER III & OPEL MOVANO  ***MAVI **SAG ON 6 PIN ( AN-715B )		AN-715B - 8200476809				
46-1011	RENAULT-OPEL	CAM ANAHTARI	CAM ANAHTARI RENAULT MASTER II & OPEL MOVANO ** KIRMIZI **ON SOL 6 PIN ( AN-716 )		AN-716 - 8200199518 - 8200502452				
46-1012	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE II **DYNAMIC  ***GRI  **ON SAG 6 PIN ( AN-717 )		8200414962 AN-717 - 8200315013				
46-1013	RENAULT	CAM ANAHTARI	CAM ANAHTAR RENAULT MEGANE II DYNAMIC - ESPACE IV - LAGUNA II  ***GRI **SOL ON 10 PIN ( AN-718 )		AN-718 - 8200315042 -  8200015088				
46-1013-1	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE II ON SOL CIFTLI *** GRİ 10 PIN ( AN-718B )		AN-718B - 8200315033				
46-1013-2	RENAULT	CAM ANAHTARI	CAM ANAHTARI *** CERCEVESI *** SIYAH ON SOL DORTLU RENAULT MEGANE II LAGUNA II ( AN-718C )		AN-718C - 8200160603				
46-1014	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT LAGUNA II - MEGANE II DYNAMIC  ***ARKA CAM  TEKLI 6 PIN ( AN-719 )		AN-719 - 8200315024 - 8200315029 - 8200220510				
46-1014-1	RENAULT	CAM ANAHTARI	CAM ANAHTARI *** CERCEVESI ***SIYAH ARKA RENAULT MEGANE II ( AN-719C )		AN-719C 46-1098				
46-1015	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE II DYNAMIC - LAGUNA II 10 PIN ( AN-720 )  ***KAHVERENGİ SOKET *** ONDEN ARKA CAMLAR İÇİN		AN-720 - 8200315040 - 8200315050				
46-1016	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE II - SCENIC II ON SOL CIFTLI ***MAVI SOKET 10 PIN ( AN-722 )		AN-722 8200107772				
46-1017	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT CLIO II SOL ON CIFTLI *** SIYAH SOKET 10 PIN ( AN-724 )		AN-724 - 8200060045				
46-1018	DACIA	CAM ANAHTARI	CAM ANAHTARI DACIA LOGAN I TEKLI 5 PIN ( AN-741 )		AN-741 6001546816				
46-1019	DACIA	CAM ANAHTARI	CAM ANAHTARI DACIA DUSTER - SANDERO TEKLI ***GRI  5 PIN ( AN-742 )		AN-742 - 8200602227 - 8200325065				
46-1020	RENAULT	SUNROOF ANAHTARI	SUNROOF ANAHTARI MEGANE II - MODUS - SCENIC II 6 PIN ( AN-750 )		AN-750 - 8200119893 - 8200319999				
46-1020-1	RENAULT	SUNROOF ANAHTARI	SUNROOF ANAHTAR *** KAPAGI RENAULT MEGANE II-SCENIC II-MODUS ( AN-750A )		AN-750A				
46-1021	RENAULT	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT R9 - R11 9 PIN ( AN-751 )		AN-751 - 7700765726				
46-1022	RENAULT	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT R19   9 PIN ( AN-752 )		AN-752 - 7700817335				
46-1023	RENAULT	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT CLIO II - KANGOO  8 PIN ( AN-753 )		AN-753 7700421820				
46-1024	RENAULT	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT MEGANE I 9 PIN ( AN-754 )		AN-754 - 7700841043				
46-1025	RENAULT	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT MEGANE I - SCENIC I 8 PIN ( AN-755 )		AN-755 - 7700435867				
46-1026	RENAULT-DACIA	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT CLIO II -SYMBOL & DACİA LOGAN-SANDERO-DUSTER 8 PIN ( AN-756 )		AN-756 - 8200446717				
46-1027	RENAULT	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT KANGOO ***GRİ 8 PIN ( AN-757 )		AN-757 - 7700308821				
46-1027-1	RENAULT	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT KANGOO ***SIYAH 8 PIN ( AN-757B )		AN-757B - 8200523539				
46-1028	RENAULT	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT CLIO III-KANGOO II 4 PIN ( AN-758 )		AN-758 - 8200442723 - 8200060036				
46-1029	RENAULT-OPEL	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT TRAFIC II-LAGUNA II-MASTER II-MOVANO-VIVORA 4 PIN ( AN-759 )		AN-759 - 8200442724 - 93856337				
46-1029-1	RENAULT	FLASOR ANAHTARI	FLASOR ANAHTARI RENAULT MASTER TRAFİC KIRMIZI ( AN-759A )		252904889R				18.08.2025
46-1030	RENAULT	EL FRENI ANAHTARI	RENAULT R12 EL FREN BUTONU						
46-1031	RENAULT	START-STOP	START-STOP ANAHTARI RENAULT MEGANE II (4PIN) ( AN-798 )		8200407396				23.05.2025
46-1032	RENAULT	START-STOP	START-STOP ANAHTARI RENAULT CLIO IV - MEGANE III - KADJAR (4PIN) ( AN-798A )		251506978R				23.05.2025
46-1034	RENAULT DACIA	MERKEZI KILIT ANAHTARI	MERKEZI KILITLEME ANAHTARI DACIA DUSTER - LOGAN 5 PIN		8200870250				
46-1035	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE III-LAGUNA III SOL DÖRTLÜ  *** TEK SOKET 13 PIN		809610006R				
46-1035-1	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE III-LAGUNA III SOL DORTLU ***SİYAH ÇERÇEVELİ ***ÇİFT SOKET 13+6 PIN ( AN-730B )		AN-730B - 254000006R				
46-1035-2	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT MEGANE III-LAGUNA III SOL DORTLU ***BEJ ÇERÇEVELİ ***ÇİFT SOKET 13+6 PIN ( AN-730C )		AN-730C - 254000015R				
46-1036	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT FLUENCE - LAGUNA III SOL DÖRTLÜ  ***ÇİFT SOKET 13+6 PİN ( AN-732 )		AN-732 - 254000008R				
46-1037	RENAULT-OPEL	AYNA AYAR ANAHTARI	AYNA AYAR ANAHTARI RENAULT MEGANE II - CLIO II - LAGUNA II - SYMBOL - MOVANO 7-8 PIN ( AN-780 )		AN-780 - 7700410141 - 7700803531F - 93189850				
46-1038	RENAULT-DACIA	AYNA AYAR ANAHTARI	AYNA AYAR ANAHTARI RENAULT CLIO III / IV - MEGANE  II - MASTER - CAPTUR & DACIA DOKKER - DUSTER - LODGY - LOGAN - SANDERO  7 PIN ( AN-781 )		AN-781 - 255704649R - 255706283R - 8200214919				
46-1039	RENAULT	AYNA AYAR ANAHTARI	AYNA AYAR ANAHTARI RENAULT MEGANE II - SCENIC II - CLIO III - KANGOO  ***KATLANIR TIP 10 PIN ( AN-782 )		AN-782 - 8200676533 - 8200109014				
46-1039-1	RENAULT	AYNA AYAR ANAHTARI	AYNA AYAR ANAHTARI RENAULT CLIO IV - CAPTUR - MODUS  ***KATLANIR TIP 10 PIN ( AN-782B )		AN-782B - 8200676529 - 8200214921				
46-1040	RENAULT	CAM ANAHTARI	CAM KARTI RENAULT MEGANE II - SCENIC II - CLIO III - LAGUNA II (6 PIN) ( AN-700700 )		AN-700700 440726				
46-1041	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT FLUENCE - LAGUNA III - SCENIC III SOL DORTLU ***ÇERÇEVELİ **AYNA AYAR & KATLANIR AYNA  (13 PIN TEK SOKETLİ) ( AN-734 )		AN-734 - 809610016R				
46-1041-1	RENAULT	CAM ANAHTARI	CAM ANAHTARI RENAULT FLUENCE - MEGANE III - LAGUNA III -SCENIC III   SOL DORTLU  ***ÇERÇEVESİZ **AYNA AYAR & KATLANIR AYNA  TEK SOKET (13 PIN) ( AN-734A )		AN-734A - 809610007R - 809610007C - 809610016R				
