SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
33-1001	RENAULT		ATESLEME BOBINI ( KALEM BOBIN ) RENAULT CLIO II, CLIO III, KANGOO, LAGUNA, MEGANE, SCENIC 1.6 16V		7700107177 - 8200765882 - 224333529R	102-012			
33-1002	RENAULT		ATESLEME BOBINI ( BEYAZ SOKET ) RENAULT CLIO II, KANGOO, MEGANE I		7700100643 - 7700100543	103-009			
33-1003	RENAULT		ATESLEME BOBINI RENAULT CLIO I 1.2, CLIO II 1.1, 1.2, 2.0, KANGOO I 1.2, LAGUNA II (01-07)		7700873701 - 8200141149 - 7700872449	104-007K			
33-1004	RENAULT		ATESLEME BOBINI RENAULT LAGUNA, MEGANE, R21, SCENIC I		7700872265 - 7700854306	103-009			
33-1005	RENAULT		ATESLEME BOBINI RENAULT R9, R11, R19, R21, CLIO I, ESPACE		7701031135 - 7701030273				
33-1006	RENAULT		ATESLEME BOBINI ( SIYAH SOKET ) RENAULT CLIO II, KANGOO I, MEGANE I, SCENIC I		7700100589	103-009			
33-1007	RENAULT		ATESLEME BOBINI RENAULT CLIO II, KANGOO EXPRESS, KANGOO, TWINGO - 3 CIVATALI		8200025256 - 8200051128 - 8200084401	104-009K			
33-1008	RENAULT NISSAN		ATEŞLEME BOBİNİ RENAULT CAPTUR-CLIO IV-V -KADJAR - DACIA DUSTER - NISSAN QASHQAI		224332935R - 22448-00Q0J	104-017			13.12.2024
33-1013	DACIA - RENAULT		ATESLEME BOBINI DACIA LOGAN, SANDERO - NISSAN KUBISTAR - RENAULT TWINGO I, II, III, CLIO		7700274008 - 6001543604 - 224336134R	104-009K			
33-1016	RENAULT-DACIA		ATESLEME BOBINI RENAULT CLIO III 1.2 16V 2005>, KANGOO 1.2 16V 2001> - DACIA SANDERO		8200702693 - 8200084401 -	104-009K			
33-1018	RENAULT		ATESLEME BOBINI RENAULT MEGANE I, SCENIC I		7700107269	103-009			
33-1019	RENAULT-SEAT-VOLVO		ATESLEME BOBINI ( BEYAZ SOKET ) RENAULT LAGUNA I, MEGANE I, SAFRANE II - SEAT TOLEDO II - VOLVO V40 I		7701041608 - 7700863021 -	103-009			
33-1020	RENAULT-VOLVO		ATESLEME BOBINI ( SIYAH SOKET ) RENAULT LAGUNA I, LAGUNA II, MEGANE I, SCENIC I - VOLVO V40 I		7701041607 - 7700865923 - 7700863020	103-009			
33-1023	RENAULT		ATESLEME BOBINI RENAULT CLIO I - TWINGO		7700749450 - 7700858138 -	103-009			
33-1029	RENAULT		ATESLEME BOBIN ( KALEM BOBIN ) RENAULT CAPTUR, KANGOO, CLIO IV, MEGANE III, MEGANE IV		224332428R	103-047			
33-1033	RENAULT		ATESLEME BOBINI RENAULT CLIO II 1.2 ( 01-03 ), KANGOO 1.2 16V ( 4 CIVATALI )		8200360911 - 8200702693 -	104-009K			
33-1101	FIAT		ATESLEME BOBINI FIAT BRAVA I 1,6, DOBLO I, MAREA, MULTIPLA, BRAVA 1.6, PALIO, PALIO WEEKEND, SIENA		46472440 - 46446039 - 7789346	103-009			
33-1102	FIAT		ATESLEME BOBINI KARBURATORLU FIAT TOFAŞ SLX, TEMPRA, TIPO, UNO		7588435 - 7746151 - 7553120	104-009K			
33-1103	FIAT		ATESLEME BOBINI FIAT TOFAŞ SLX 1.6, PALIO, SIENA, DOBLO, ALBEA 1.2 - 1.4, PANDA, PUNTO		46543562 - 46548037 -	102-021K			
33-1104	FIAT		ATESLEME BOBINI FIAT LINEA, ALBEA, DOBLO 1,4 8V		55208723 - 55200112 - 55200486	106-006K			
33-1105	FIAT		ATEŞLEME BOBİNİ KALEM BOBİN FIAT 500X (334) (14-) FIAT EGEA 16 (356)  (16-) FIAT EGEA 16 (356)  (16-		55242406	103-023			
33-1106	FIAT		ATESLEME BOBINI FIAT DOBLO, STILO		46777286 - 55180004 -	103-023			
33-1107	FIAT ALFA ROMEO JEEP		ATEŞLEME BOBİNİ FIAT 500X - BRAVO II - PUNTO EVO - ALFA ROMEO GILUETTA - JEEP RENEGADE		55268855	103-023			31.10.2024
33-1109	FIAT-ALFA ROMEO-CITROEN		ATESLEME BOBINI FIAT BRAVA - ALFA ROMEO 33, 145, 146, 155, 164 - CITROEN JUMPY I, II		7648797 - 60809606 -	103-009			
33-1111	FIAT-LANCIA		ATESLEME BOBINI FIAT TOFAŞ DOGAN, SAHIN, TEMPRA, TIPO, UNO - LANCIA		7582152 - 7746152 - 60705604	104-009K			
33-1113	FIAT-RENAULT		ATESLEME BOBINI FIAT TOFAŞ SERCE, MURAT, SAHIN, DOGAN, KARTAL - RENAULT R12		4071394 - 297006020 - 7700742132				
33-1114	FIAT		ATESLEME BOBINI FIAT BRAVO, MAREA, MAREA WEEKEND		46467542 - 0221504014 -	103-001			
33-1116	FIAT		ATESLEME BOBINI FIAT BRAVO I 2.0 10.95-07.98-MAREA 2.0		46403328	103-009			
33-1117	FIAT		ATESLEME BOBINI ( KALEM BOBIN ) FIAT EGEA BRAVO II 1,4, DOBLO 1,4		46777288 - 55246099 -	103-023			
33-1118	FIAT-OPEL-ALFA ROMEO		ATESLEME BOBINI ( KALEM BOBIN ) FIAT LINEA 1,4T 2008>  - OPEL COMBO 1,4 - ALFA ROMEO GI		55213613 - 55209603 -	103-023			
33-1120	FIAT		ATESLEME BOBINI ( KALEM BOBIN ) FIAT MAREA 1.8 16V		46473849 - 46473849 -	103-047			
33-1121	ALFA ROMEO - FIAT - MERCEDES - LANCIA - DACIA - RENAULT - PEUGEOT - LAND ROVER		ATESLEME BOBINI ALFA ROMEO - FIAT - MERCEDES - LANCIA - DACIA - RENAULT - PEUGEOT - LAND ROVER		510897 - 597011 - 4071394				
33-1200	PEUGEOT - CITROEN		ATESLEME BOBINI CITROEN XANTIA, EVASION, XSARA - PEUGEOT 406. 306 II XU7JP41.8 16V XU10J4R 2		96292106 - 5970.73 -	104-007K			
33-1201	PEUGEOT - CITROEN		ATESLEME BOBINI PEUGEOT 206, 306 - CITROEN C2, C3, SAXO, XSARA  *** SİYAH SOKET		5970.A9 - 5970.74 -	104-040			
33-1202	PEUGEOT - CITROEN		ATESLEME BOBINI PEUGEOT 206, 206+, 307, 308, 1007 - CITROEN BERLINGO  *** GRİ SOKET		5970.A8 - 5970.78 - 5970.79	104-040-1			
33-1203	PEUGEOT - CITROEN - RENAULT		ATESLEME BOBINI PEUGEOT 406, 407, 607 3.0 - CITROEN C5, C6, C8 3.0 - RENAULT LAGUNA II 3.0, RENAULT CLIO II (BB_, CB_) 3.0 V6 Sport		5970.77 - 7701479027 - 9633001580	102-010			
33-1204	PEUGEOT - CITROEN		ATESLEME BOBINI PEUGEOT 206, 307, 308, 1007 - CITROEN C2, C3		5970.99 - 5970.80 -	104-007K			
33-1205	PEUGEOT - CITROEN		ATESLEME BOBINI PEUGEOT 106, 205, 306, PARTNER 1.4, 1.6, 1.8, BOXER 2.0 - CITROEN BERLINGO		5970.60 - 96074054 - 5970.48	104-007K			
33-1206	PEUGEOT - CITROEN		ATESLEME BOBINI PEUGEOT 206, 307, 406, 407, 607 - CITROEN		5970.76 - 5970.84 - 5970.A5	106-002			
33-1207	PEUGEOT - CITROEN - OPEL		ATEŞLEME BOBİNİ (KALEM BOBİN) PEUGEOT 2008 - 208 - 3008 II - 308 SW - 5008 II - CITROEN C3 - C4 - PICASSO - DS3 - DS4 - OPEL CROSSLAND		9675390980 - 3639845	103-001			
33-1209	PEUGEOT - CITROEN		ATESLEME BOBINI PEUGEOT 106 II 1,6I - CITROEN SAXO 1,6		5970.56 5970.A2	104-007K			
33-1211	PEUGEOT - CITROEN		ATESLEME BOBINI PEUGEOT 206, 207, 307, 1007 - CITROEN C2, C3, C4		5970.85 - 9651710680 -	106-002-2			
33-1212	PEUGEOT - CITROEN		ATESLEME BOBINI PEUGEOT 206, 307, 406, 407, 607, 806 - CITROEN C4, C5, JUMPY, XSARA		5970.75 - 5970.98 -	104-040			
33-1213	CITROEN		ATEŞLEME BOBİNİ (KALEM BOBİN) CITROEN ZX 2.0 16V, XSARA 2.0 16V		5970.55 - 96213181 -	102-015K			
33-1214	PEUGEOT - CITROEN		ATESLEME BOBINI PEUGEOT 106, 205, 306, 405, 406		5970.49 - 9616597080 - 96062288	104-007K			
