SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
27-1000	RENAULT	MAVI	DEBRIYAJ PEDAL MUSURU RENAULT TRAFIC II-LAGUNA II-MASTER II-CLIO ( 2 PIN MAVI )		7700434561 - 8200110895 - 25320-00QAD	104-031			
27-1002	RENAULT		DEBRIYAJ PEDAL MUSURU ( KAPTORU ) RENAULT LAGUNA		8200666173				
27-1003	RENAULT	GRI	DEBRIYAJ PEDAL MUSURU RENAULT CLIO II-KANGO I-LAGUNA II-MASTER II-TRAFIC II ( 2 PIN GRI )		8200110894 - 7700431512 -	104-031			
27-1004	RENAULT	YESIL	DEBRIYAJ PEDAL MUSURU RENAULT MEGANE II-CAPTUR-CLIO III/IV-FLUENCE ( 2 PIN YESIL )		8200168240 - 8200276360 - 253250007R				
27-1006	RENAULT	MAVI	DEBRIYAJ PEDAL MUSURU RENAULT CLIO III MASTER III-LAGUNA III -DACIA LOGAN-DUSTER ( 2 PIN MAVI )		8200276359 - 8200168239 - 253250006R				
27-1006-1	RENAULT	MAVI	DEBRIYAJ PEDAL MUSURU RENAULT CLIO III MASTER III-LAGUNA III -DACIA LOGAN-DUSTER ( 2 PIN MAVI )		8200276359 8200276359 - 8200168239 - 253250006R				
27-1007	RENAULT	MAVI GRI	DEBRIYAJ PEDAL MUSURU RENAULT MEGANE III-FLUENCE ( 2 PIN MAVI GRI )		253250005R - 253253287R -				
27-1010	RENAULT	SIYAH MAVI	DEBRIYAJ PEDAL MUSURU RENAULT TRAFIC III ( 4 PIN SIYAH MAVI )		253256730R				
27-1011	RENAULT	MAVI SIYAH	DEBRIYAJ PEDAL MUSURU RENAULT CLIO IV-CAPTUR-MEGANE IV-TRAFIC II ( 4 PIN MAVI SIYAH )		253251679R - 253253894R -				
27-1012	RENAULT	YESIL BEYAZ	DEBRIYAJ PEDAL MUSURU RENAULT LAGUNA III-MASTER III ( 4 PIN YESIL BEYAZ )		253251456R	104-029			
27-1100	FIAT	MAVI	DEBRIYAJ PEDAL MUSURU FIAT PALIO WEEKEND-ALBEA-SIENA-LINEA ( 2 PIN MAVI )		46837391 - 4534.61 - 1560050				
27-1101	FIAT	KAHVERENGI	DEBRIYAJ PEDAL MUSURU FIAT DOBLO-BRAVO II-DUCATO II-LINEA-PUNTO II ( 2 PIN KAHVERENGI )		46834703 - 46742976 - 60816500				
27-1102	FIAT - PEUGEOT - CITROEN	YESIL BEYAZ TURUNCU	DEBRIYAJ PEDAL MUSURU FIAT FIORINO - PEUGEOT BIPPER - CITROEN NEMO ( 2 PIN YESIL BEYAZ TURUNCU )		51824727 - 2189.25 -				
27-1103	ALFA ROMEO		DEBRIYAJ PEDAL MUSURU ALFA ROMEO		51940574				
27-1104	FIAT		DEBRIYAJ PEDAL MUSURU FIAT GRANDE PUNTO-DOBLO II-FIORINO III ( 3 PIN )		50515148				
27-1105	FIAT - PEUGEOT - CITROEN		DEBRIYAJ PEDAL MUSURU FIAT FIORINO-EGEA - PEUGEOT BIPPER - CITROEN NEMO		519057040 - 1611520080 - 51905704				
