SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
41-0001	VOLKSWAGEN		YAKIT SEVİYE SENSÖRÜ VW TRANSPORTER T5		7H0919673 7H0919673B				
41-1000	RENAULT	( 3 BAR )	DEPO SAMANDIRASI RENAULT LAGUNA II 1.6 16V 05- - -		8200683173 - 8200085517 -				
41-1001	RENAULT		DEPO SAMANDIRASI RENAULT MEGANE IV 1.6 16V 2015--		172024921R- 0580200271				05.12.2024
41-1002	RENAULT	( POMPALI )	DEPO SAMANDIRASI RENAULT MASTER III 2010-- POMPALI		172024734R 172020255R - 172020257R				
41-1002-1	RENAULT		DEPO ŞAMANDIRASI KOMPLE RENAULT MASTER III 2.3 201		172020069R				26.08.2025
41-1003	RENAULT - MERCEDES	( DİZEL )	DEPO SAMANDIRASI RENAULT KANGOO III  - MERCEDES CITAN 1.5 DCI		172027726R - A4154780101 -				
41-1004	RENAULT	( POMPASIZ )	DEPO SAMANDIRASI RENAULT MEGANE II 1,5DCI K9K 1,9 DCI ( POMPASIZ )		8200288808				
41-1005	RENAULT	( POMPASIZ )	DEPO SAMANDIRASI RENAULT CLIO II, KANGOO, CLIO, THALIA 1,5 DCI K9K 2001-- POMPASIZ		8200035909				
41-1007	RENAULT	( TEK ÇIKIŞ *** 3 BAR 120 L/h )	DEPO SAMANDIRASI RENAULT MEGANE II 1.4 - 1.6 - 2.0  TEK ÇIKIŞ    *** 3 BAR 120 L/h		8200029163 - 8200683188 - 172020079R				
41-1008	RENAULT-OPEL	( DİZEL *** POMPALI )	DEPO SAMANDIRASI RENAULT TRAFIC II 1.9 DCI 2003-2011 - OPEL VIVARO 01-14 1.9 DCI - 2.5 DCi		8200084183 - 4409349				
41-1009	RENAULT	( 3 BAR 60L/h )	DEPO SAMANDIRASI RENAULT CLIO II 98>, CLIO III 05-10 1.4, 1.6    *** 3 BAR 60L		8200683207 - 6001547605 - 172024388R				
41-1010	RENAULT	( 3 BAR 125L/h )	DEPO SAMANDIRASI RENAULT CLIO II 1.2 - 1.4 - 1.6 THALIA     *** 3 BAR 125 LT		8200027963 - 8200683199 - 0986580312				
41-1011	RENAULT-NISSAN	( POMPASIZ )	DEPO SAMANDIRASI RENAULT KANGOO, KANGOO EXPRESS - NISSAN KUBISTAR 1,5		8200155192 - 17042-00QAE -				
41-1012	RENAULT	( 3,5 BAR 115L/h )	DEPO SAMANDIRASI RENAULT MEGANE II 1.4 16V - 1.6 16V  - 2.0  16V ...    *** 3,5 BAR 115 L/h		8200130191 - 8200689362 -				
41-1013	RENAULT	( 3 BAR 120L/h )	DEPO SAMANDIRASI RENAULT MEGANE I, SCENIC I 1.4 e 1.4 16V - 1.6 16V   *** 3 BAR 120L/h		7700431718				
41-1014	DACIA	( 3 BAR 60L/h )	DEPO SAMANDIRASI DACIA LOGAN SANDERO 1.4 - 1.6 16V 04>, DUSTER 1.6 16V    *** 3 BAR 60 L/h		8200307403 - 172024388R - 6001547605				
41-1015	RENAULT	( 3 BAR 70L/h )	DEPO SAMANDIRASI RENAULT MEGANE III 1.4 2009>, 1.6 2008>, 2.0 2009, FLUENCE 1,6 16V *** 3 BAR 70L/h		172020029R - 0580200025				
