SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
49-1000 MGA	RENAULT - DACIA	FAR SİNYAL KOLU (KORNALI)	FAR SİNYAL KUMANDA KOLU *** KORNALI RENAULT R9 BRODWAY SPRING & R11 FLASH RAINBOW		34100 7700779566 - 7702127546 - 251568				
49-1000 SGM	RENAULT - DACIA	FAR SİNYAL KOLU (KORNALI)	FAR SİNYAL KUMANDA KOLU *** KORNALI RENAULT R9 BRODWAY SPRING & R11 FLASH RAINBOW		171159 7700779566				
49-1000	RENAULT		FAR SİNYAL KUMANDA KOLU *** KORNALI RENAULT R9 BRODWAY SPRING & R11 FLASH RAINBOW						18.08.2025
49-1001	RENAULT - DACIA	FAR SİNYAL KOLU (KORNALI)	FAR SİNYAL KUMANDA KOLU RENAULT R19  ***KORNA BUTONLU		7700803537 - 7700842114				
49-1001-1	RENAULT - DACIA	FAR SİNYAL KOLU (KORNALI)	FAR SİNYAL KUMANDA KOLU RENAULT R19  ***KORNA BUTONLU		7700842114 - 7700803537				
49-1002	RENAULT - DACIA	FAR SİNYAL KOLU (TEK SİSLİ - KORNALI)	FAR SİNYAL KUMANDA KOLU RENAULT KANGOO - MEGANE I ***KORNA BUTONLU  ***ÖN SİSLİ		7701053057 - 7701047254 - 251562				
49-1003	RENAULT - DACIA	FAR SİNYAL KOLU (ÇİFT SİSLİ - KORNALI)	FAR SİNYAL KUMANDA KOLU RENAULT KANGOO ***KORNA BUTONLU  ***ÖN + ARKA SİSLİ		7701053058 - 251565 -				
49-1004	RENAULT - DACIA	FAR SİNYAL KOLU (TEK SİSLİ - KORNASIZ)	FAR SİNYAL KUMANDA KOLU RENAULT MEGANE I (1996-2003)  ***ÖN SİSLİ - KORNASIZ		7701047254 - 7701053057 - 251568				
49-1005	RENAULT - DACIA	FAR SİNYAL KOLU (ÇİFT SİSLİ - KORNASIZ)	FAR SİNYAL KUMANDA KOLU RENAULT MEGANE I ***KORNASIZ    ***ÖN SİSLİ		7701047255 - 7701058403 - 251561				
49-1006	RENAULT - DACIA	FAR SİNYAL KOLU (ÇİFT SİSLİ - KORNALI)	FAR SİNYAL KUMANDA KOLU RENAULT MEGANE I 1996-2003 KANGOO 1998-2007  ***KORNA BUTONLU   ***ÖN + ARKA SİSLİ    ****DİREKSİYON KORNA ÇIKIŞLI		7701044279 - 7701045865				
49-1007	RENAULT - DACIA	FAR SİNYAL KOLU (TEK SİSLİ - KORNASIZ)	FAR SİNYAL KUMANDA KOLU RENAULT CLIO SYMBOL 2001>  *** KORNA BUTONLU     ***ÖN SİSLİ		18804956 6001549917 - 7701048908 - 7701048956				
49-1008	RENAULT - DACIA	FAR SİNYAL KOLU (TEK SİSLİ - KORNALI)	FAR SİNYAL KUMANDA KOLU RENAULT MASTER II 1998-2008- & MASCOTT 2004--> ***KORNA BUTONLU  ***ÖN SİSLİ		7701057612 25560-00QAE 19204590				
49-1009	RENAULT - DACIA	FAR SİNYAL KOLU (ÇİFT SİSLİ - (DİREKSİYON KORNA ÇIKIŞLI))	FAR SİNYAL KUMANDA KOLU RENAULT CAPTUR 2013--> & CLIO IV 2012--> & TRAFIC III 2014-->  DACIA LOGAN II 2012-- SANDERO II 2012-->   ***ÖN + ARKA SİSLİ ***DİREKSİYON KORNA ÇIKIŞLI		8201167981 - 255401303R - 255405005R - AN-10709				
49-1009-1	DACIA	FAR KOLU	FAR SİNYAL KUMANDA KOLU DACIA LODGY - LOGAN II - SANDERO II *** ÇİFT SİSLİ		8201167975 - 8201137975 - 255401642R				13.12.2024
49-1011	RENAULT - DACIA	FAR SİNYAL KOLU (TEK SİSLİ - KORNALI)	FAR SİNYAL KUMANDA KOLU DACİA DOKKER & DUSTER & LODGY & MCV & SANDEROII 2012--> LOGAN I 2004-->   ***KORNA BUTONLU ***ÖN SİSLİ		8201167982 - 681728631R - 255408317R				
