SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
26-1000	RENAULT	METAL KALIN DIS	FREN MUSURU RENAULT R12 TOROS ( METAL KALIN DIS )		7700511899 - 7700544807 - 7700562527				
26-1001	RENAULT		FREN MUSURU RENAULT R9-R11-R19-MEGANE-CLIO-LAGUNA - MITSUBISHI CARISMA ( 2 PIN )		7700785258	103-079			
26-1002	RENAULT	SARI	FREN MUSURU RENAULT R19 ( 88-96 ) - CLIO ( 90-98 ) - MEGANE ( 96-98 ) ( 2 PIN SARI )		7700849824	103-079			
26-1003	RENAULT	BEYAZ	FREN MUSURU RENAULT R19-MEGANE I-CLIO ( 3 PIN BEYAZ & YESIL )		7700849783 - 7700791178 -	103-079			
26-1004	RENAULT	METAL INCE DIS	FREN MUSURU RENAULT R12 TOROS ( METAL INCE DIS )		7700511899 - 7700544807 - 7700562527				
26-1004-1	RENAULT	PLASTIK INCE DIS	FREN MUSURU RENAULT R12 TOROS ( PLASTIK INCE DIS )		7700511899 - 7700544807 - 7700562527 -PRM.300510				
26-1005	RENAULT		FREN MUSURU RENAULT MEGANE IV / SCENIC / LATITUDE / TALİSMAN		253206454R - 253201367R - 253205824R	104-029			
26-1006	RENAULT	SIYAH BEYAZ	FREN MÜŞÜRÜ RENAULT CLIO III-TRAFIC II - DACIA LOGAN-SANDERO-DUSTER (4 PİN SİYAH BEYAZ)		8200276361 - 25320-00QAF	104-029			
26-1007	RENAULT	BEYAZ UZUN	FREN MUSURU RENAULT MEGANE I-LAGUNA I ( 2 PIN SIYAH BEYAZ UZUN )		7700410418 - 7700811340 -	103-079			
26-1008	RENAULT	GRI BEYAZ	FREN MUSURU RENAULT MEGANE II-SCENIC II-CLIO III ( 4 PIN GRI BEYAZ )		8200168238	104-029			
26-1009	RENAULT	SIYAH BEYAZ	FREN MUSURU RENAULT CLIO II-KANGOO-MASTER II-TRAFIC II ( 4 PIN SIYAH BEYAZ )		7700414988	104-031			
26-1010	RENAULT	SIYAH	FREN MUSURU RENAULT CLIO II-KANGOO-MASTER II - DACIA LOGAN-SANDERO ( 2 PIN SIYAH )		7700414986 - 25320-00QAB -	104-031			
26-1011	RENAULT OPEL		FREN MUSURU RENAULT TRAFFIC III 1.6 dCI -CLIO V HB - OPEL VIVARO 1.6 CDTI		253203383R - 4422370	104-029			28.11.2024
26-1013	RENAULT	SIYAH BEYAZ KURMALI IADESI OLMAZ	FREN MUSURU RENAULT CLIO III/IV-MODUS - DACIA LODGY ( 4 PIN SIYAH BEYAZ KURMALI IADESI OLMAZ )		253206170R	104-029			
26-1017	RENAULT	PEMBE YESIL	FREN MUSURU RENAULT LAGUNA III-LATITUDE ( 4 PIN PEMBE YESIL )		253200003R	104-029			
26-1018	RENAULT		FREN MUSURU RENAULT FLUENCE-MEGANE III-SCENIC III ( 4 PIN )		253200005R - 253209243R -				
26-1024	RENAULT-NISSAN	KAHVE	FREN MUSURU RENAULT KADJAR-KOLEOS - NISSAN ALMERA-JUKE-QASHQAI-NAVARA-X TRAIL ( 2 PIN KAHVE )		25300-3RA0A - 25300-4M400 - 25300-AT300				
26-1100	FIAT	SIYAH BEYAZ	FREN MUSURU FIAT ALBEA-LINEA-DOBLO-DUCATO-500 ( 4 PIN SIYAH BEYAZ )		46840510 - 60669020 - 4534.50				
