SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
28-1000	RENAULT		GERI VITES MUSURU RENAULT R12-TOROS		7700501280 - 7700732507 - 6001001318				
28-1001	RENAULT	YESIL	GERI VITES MUSURU RENAULT KANGOO-LAGUNA-R9-R19-CLIO-MEGANE ( 2 PIN YESIL )		7700422630 - 7700778780 - 7700802640	102-027-Y			
28-1001-1	RENAULT	TURUNCU	GERI VITES MUSURU RENAULT KANGOO-LAGUNA-R9-R19-CLIO-MEGANE (2 PİN TURUNCU)		7700422630 7700422630 - 7700778780 - 7700802640	102-027-S			
28-1003	RENAULT-NISSAN-DACIA	MAVI	GERI VITES MUSURU DACİA LOGAN-DUSTER- RENAULT CLIO III/IV-LAGUNA II-MEGANE IV MASTER - NISSAN MICRA ( 2 PIN MAVI )		8200209496 - 8200771472 - 320054913R	102-010			
28-1003-1	RENAULT-NISSAN-DACIA	MAVI	GERI VITES MUSURU DACİA LOGAN-DUSTER- RENAULT CLIO III/IV-LAGUNA II-MEGANE IV MASTER - NISSAN MICRA ( 2 PIN MAVI )		8200209496 8200209496 - 8200771472 - 320054913R	102-010			
28-1006	RENAULT-DACIA	YESIL	GERI VITES MUSURU RENAULT MEGANE II-CLIO III/IV-FLUENCE-LAGUNA II & DACIA DUSTER ( 3 PIN YESIL )		8200008194 - 8200177718 -	103-003			
28-1007	RENAULT	E.M FISLI	GERI VITES MUSURU RENAULT R9-R11-R21-P205 ( E.M FISLI )		7700732506 - 7700591730 - 7701348716				
28-1008	RENAULT	E.M FISLI	GERI VITES MUSURU RENAULT R9 ( E.M FISLI )		7700579986				
28-1009	RENAULT	SIYAH YESIL	GERI VITES MUSURU RENAULT SAFRANE-MASTER II-LAGUNA II ( 2 PIN SIYAH YESIL )		7700808088	103-008			
28-1100	FIAT		GERI VITES MUSURU TOFAŞ DOGAN-KARTAL-SAHIN-M131		4132067 - 4209747 - 4356374				
28-1101	FIAT		GERI VITES MUSURU FIAT DOBLO-PALIO-MAREA-LINEA-PUNTO-500 ( 2 PIN )		46410524 - 55189236 - 55203408	102-021K			
28-1102	FIAT	4 VITES-KISA TİP	GERI VITES MUSURU FIAT UNO & MURAT 124  ***4 VITES KISA TİP		4209632 - 5977316 - 5994949				
28-1103	FIAT	SOKETLI	GERI VITES MUSURU TOFAŞ DOGAN-KARTAL-SAHIN ( 2 PIN )  ***SOKETLI		7674086 - 7696882 - 7579681	102-033			
28-1104	FIAT		GERI VITES MUSURU FIAT FIORINO-500-GRANDE PUNTO-TEMPRA-TIPO-UNO ( 2 PIN )		7615564 - 46410523 - 7588520	102-021K			
28-1105	FIAT		GERI VITES MUSURU FIAT EGEA-DOBLO-500L-500X-BRAVO ( 2 PIN )		46434553 - 60814251 -	102-021K			
28-1106	FIAT	4 VITES - KISA TIP	GERI VITES MUSURU TOFAŞ M131-KARTAL SAHIN SERCE  ***4 VITES KISA TIP		3921510 - 4111126 - 3916636				
28-1107	IVECO-FORD		GERI VITES MUSURU IVECO OTOYOL FORD		3921510				
28-1200	PEUGEOT-CITROEN-FIAT	UZUN TIP KARE SOKET	GERI VITES MUSURU PEUGEOT P306-P405-P406-BOXER-PARTNER & CITROEN JUMPER & FIAT DUCATO ( 2 PIN ) *** UZUN TIP KARE SOKET		2257.34 - 2257.40 - 96018110	102-015K			
28-1201	PEUGEOT-CITROEN	KISA TIP KARE SOKET	GERI VITES MUSURU PEUGEOT PARTNER - P306 & CITROEN BERLINGO - EXPERT ( 2 PIN )  ***KISA TIP KARE SOKET		2257.41 - 2257.33 - 96018108	102-015K			
