SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
23-1000	RENAULT		HARARET MUSURU RENAULT R5 R12 TOROS		7700503200 - 7701349086 -				
23-1001	RENAULT - DACIA		HARARET MÜŞÜRÜ RENAULT FLUENCE-CLIO III/IV-LAGUNA-MEGANE II/III-SCENIC III- DACIA LOGAN-SANDERO		226300007R - 8200720768 - 22630-00Q1P	102-084			
23-1002	RENAULT		HARARET MUSURU RENAULT R9 R11 E.M.		7910247507 - 7701348143 - 0242.20				
23-1003	RENAULT		HARARET MUSURU RENAULT R9 R11 R21 R25		7700771821 - 7700809909 -	101-001			
23-1004	RENAULT	***KAHVERENGİ	HARARET MUSURU RENAULT R9-R11-R19-CLIO I-MEGANE I ( 120°C )  ***KAHVERENGİ		7700810879	102-027-K			
23-1005	RENAULT - NISSAN		HARARET MÜŞÜRÜ RENAULT MEGANE IV-CLIO IV-TALISMAN - NISSAN JUKE (YAĞ SICAKLIĞI)		7.3358 250759968R 22630-ZJ70A	102-083			
23-1006	RENAULT - DACIA	***SİYAH	HARARET MUSURU ( 3 PIN SIYAH ) RENAULT CLIO II/III-KANGOO-MEGANE II & DACIA SANDERO-LOGAN-DUSTER		7700101968 - 7700103348 - 8200561449	103-005			
23-1007	RENAULT - MITSUBISHI		HARARET MUSURU RENAULT CLIO II - KANGOO - MEGANE I - SCENIC I - LAGUNA - TRAFIC I / MITSUBISHI CARISMA		7700865290 - M809548 -	102-015K			
23-1008	RENAULT		HARARET MUSURU RENAULT CLIO II - ESPACE III - KANGOO I - LAGUNA I - MEGANE I - TRAFIC I ( 120°C )		7700829427	104-008-1			
23-1009	RENAULT	***BEYAZ	HARARET MUSURU RENAULT R19-R21-CLIO I-LAGUNA I-MEGANE I ( 2 PIN BEYAZ )		7700737571 - 7700869343 -	102-015K			
23-1011	RENAULT - VOLVO	***KAHVERENGİ	HARARET MUSURU LAGUNA ( 95-01 ) -VOLVO S40-V40 2.0 16V ( 2 PIN KAHVERENGI 120°C )		7700828565	102-027-K			13.12.2024
23-1012	RENAULT - DACIA	***SİYAH GEÇMELİ	HARARET MÜŞÜRÜ RENAULT CLIO KANGOO MEGANE & DACIA SANDERO DUSTER 1.5 DCİ ( 4 PİN SİYAH GEÇMELİ)		7700105087 - 226309418R - 6001545356	104-008			
23-1013	RENAULT-VOLVO	***KABLOLU	HARARET MUSURU RENAULT LAGUNA I-SAFRANE- VOLVO C70-S40 2.0 16V ( 2 PIN )  ***KABLOLU		7439186486 - 35450311 - 9186486				
23-1014	RENAULT	***SİYAH E.M.	HARARET MUSURU RENAULT R19-R21-CLIO-KANGOO-TRAFIC I ( 120°C ) E.M. ***SİYAH		7700771786 - 7700786460 -	101-001-1			
23-1024	RENAULT		HARARET MUSURU RENAULT CAPTUR-CLIO III/IV/V-FLUENCE-MASTER III-MEGANE II/III/IV		226301872R - 8200385782 - 8200650777	102-084			
23-1025	RENAULT - OPEL		HARARET MUSURU RENAULT MASTER II SAFRANE II - OPEL MOVANO A ( 105°C )		7700819641	102-027-S			
23-1026	RENAULT - DACIA - NISSAN - LADA		HARARET MUSURU RENAULT CLIO III MEGANE II - III KANGOO II LAGUNA III FLUENCE MODUS & DACIA LODGY LOGAN I-SANDERO I & LADA LARGUS & NISSAN QASHQAI		226307034R - 226300717R -	103-059			
23-1027	RENAULT		HARARET MUSURU RENAULT R19-R21-CLIO-LAGUNA ( 125°C )		7700805271 - 7700810880 -	102-027-K			
23-1101	FIAT		HARARET MUSURU TOFAŞ M124-M131 & FIAT PALIO-TEMPRA-TIPO-UNO		7588802 - 4108672 - 7588882				
23-1102	FIAT	***TOMBUL MAVİ	HARARET MUSURU FIAT TEMPRA ( 90-96 ) -TIPO ( 89-95 ) -UNO ( 88-06 ) ( 2 PIN MAVI )		7669143 - 5682332 -	102-015K			
23-1103	FIAT	***SİYAH	HARARET MUSURU FIAT PALIO - SIENA 1.2 8V - 1.2 16V ( 3 PIN SIYAH )		46474599	103-005			
23-1104	FIAT	***GRİ	HARARET MUSURU FIAT PALIO-BRAVO I-MAREA ( 3 PIN GRI )		46474712 - 6000625331 - 60814402	103-005			
23-1105	FIAT	***MAVİ	HARARET MUSURU FIAT PALIO ( 96-01 ) - SIENA ( 96-09 ) MAREA  ( 3 PIN MAVI )		46474600	103-005			
23-1106	FIAT	***YEŞİL	HARARET MUSURU FIAT DOBLO I ( 01-... ) -PUNTO II-PANDA-SIENA ( 07-09 ) ( 2 PIN YESIL )		71719393 - 55214054 - 46824133	102-010			
23-1107	FIAT-ALFA ROMEO	***SİYAH	HARARET MUSURU FIAT BRAVO-LINEA-MAREA-PALIO & ALFA ROMEO 147-156  *** 4 FİŞLİ SİYAH		46753479 - 60816476 - 77363458	104-006			
23-1108	FIAT		HARARET MÜŞÜRÜ FIAT PALIO-BRAVO-PUNTO		71736835	102-010			
23-1109	FIAT - PEUGEOT - CITROEN		HARARET MÜŞÜRÜ FIAT DUCATO 2.0 - CITROEN JUMPER - PEUGEOT BOXER		9613147080 - 1920.K9	102-015K			
23-1111	FIAT - OPEL	***MPI MOTOR	HARARET MUSURU FIAT TEMPRA-TIPO-PUNTO & OPEL ASTRA G/J-CORSA A-INSIGNIA A-KADETT E-VECTRA B/C  ***MPI MOTOR		7778980 - 60811520 - 12191170	102-024			
23-1114	FIAT	***SİYAH	MANIFOLD TERMIK MUSURU FIAT TEMPRA ( 90-96 ) - TIPO ( 89-95 ) ( 75°C SIYAH )		7588881				
23-1115	FIAT	***BEYAZ	MANIFOLD TERMIK MUSURU FIAT TEMPRA-TIPO-UNO - TOFAŞ DOGAN ( 45°C BEYAZ )		7574407				
23-1116	FIAT - ALFA ROMEO	***KAHVERENGİ	HARARET MUSURU FIAT PUNTO-LINEA-DOBLO-500/C/L  &  ALFA ROMEO GIULIETTA   ***KAHVERENGI		77363465 - 55190791 - 1535412	102-010			
23-1117	FIAT	***SARI	HARARET MUSURU FIAT BRAVO ( 95-01 ) - MAREA ( 96-02 ) - PALIO ( 96-02 ) - SIENA ( 98-09 ) ( 2 PIN )  ***SARI SOKETLİ		46414596 - 500309833	102-015K			
23-1118	FIAT - OPEL		HARARET MUSURU FIAT EGEA-PUNTO-LINEA-FIORINA-DOBLO-500/X/L - OPEL ASTRA J-CORSA E ( 2 PIN )		55206393 - 1338359 - 1338.G9	102-001			
23-1200	PEUGEOT-CITROEN		HARARET MUSURU PEUGEOT PARTNER-P206-P306 & CITROEN BERLINGO ( 50°C )		1338.85	102-015-1			
23-1201	PEUGEOT-CITROEN	***MAVİ KLIMASIZ	HARARET MÜŞÜRÜ PEUGEOT P206-P306-PARTNER - CITROEN BERLINGO (122°C KLİMASIZ MAVİ)		1.830.552 1338.86 - 7.3552 -	102-015K			
23-1202	PEUGEOT-CITROEN	***MAVİ	HARARET MUSURU PEUGEOT P206-P306- PARTNER & CITROEN BERLINGO  *** 4 FİŞLİ MAVİ		1338.87 - 9625027280 -				
23-1203	PEUGEOT-CITROEN	***YEŞİL	HARARET MUSURU PEUGEOT P106-P206-P306-PARTNER & CITROEN BERLINGO-XSARA ( 2 PIN YESIL ) ORJINAL URUN		1920.3F	102-015K			
23-1204	PEUGEOT-CITROEN	***MAVİ	HARARET MUSURU PEUGEOT P206-P306-P307-P406 & CITROEN BERLINGO-XSARA ( 120°C 2 PIN MAVI )		0242.68 - 0242.85 -	102-015K			
23-1205	PEUGEOT-CITROEN	***MAVİ	HARARET MÜŞÜRÜ PEUGEOT  P206-P306-PARTNER & CITROEN BERLINGO-XSARA (117°C 2 PİN MAVİ)		34440 0242.83	102-015K			
23-1206	PEUGEOT-CITROEN - NISSAN	***YEŞİL	HARARET MUSURU PEUGEOT P106-P306-P406-P806 & CITROEN BOXER-BERLINGO & NISSAN MICRA II ( 2 PIN YESIL )		1338.47 - 1338.78 - 25080-1F600	102-015K			
23-1208	PEUGEOT-CITROEN		HARARET MÜŞÜRÜ PEUGEOT P1007-P106-P206-P207-P306-P307-P406-PARTNER & CITROEN BERLINGO-C3 (3 PİN)		1338.A6 1338.97	103-003			
23-1209	PEUGEOT	***YEŞİL	HARARET MUSURU PEUGEOT P1007-2008-206-207-307-308-406-407-BIPPER-PARTNER ( 2 PIN YESIL )		1338.A7 - 1338.88 - 9636777180	102-010			
23-1210	PEUGEOT-CITROEN - FIAT-IVECO		HARARET MUSURU FIAT DUCATO & PEUGEOT BOXER & CITROEN JUMPER & IVECO DAILY 2.5 DJ5 ( 107°C )		1338.93 - 1338.F7				
23-1211	PEUGEOT-CITROEN - FIAT	***MAVİ	HARARET MUSURU FIAT DUCATO II & PEUGEOT BOXER II CITROEN JUMPER II DW10TD DW12ETUD 2.0 - 2.2 HDI ( 3 PIN MAVI )		1338.C0 - 9633518880 - 9633518580	103-003			
23-1212	PEUGEOT-CITROEN - FORD - VOLVO	***YEŞİL	HARARET MUSURU PEUGEOT P206 P307 & CITROEN C2 C3 C4 C5 & FORD FOCUS FİESTA & VOLVO 1.4 HDI 1.6 HDİ  ***2 FİŞLİ YESIL		1338.C1 - 1338.G5 - 9632562480	102-010			
23-1213	PEUGEOT-CITROEN	***YEŞİL	HARARET MÜŞÜRÜ PEUGEOT P208-P3008-P308-P5008-P508 & CITROEN BERLINGO-C3-C4  ***2 FİŞLİ YEŞİL		9810048680	102-010			
23-1214	PEUGEOT-CITROEN-FIAT	***KAHVERENGİ	HARARET MUSURU FIAT DUCATO-SCUDO & PEUGEOT P106-P306-P406-BOXER-PARTNER & CITROEN BERLINGO-JUMPER-SAXO  ***2 FİŞLİ KAHVERENGİ		1338.55 - 96033248	102-015-1			
23-1215	PEUGEOT-CITROEN	***YEŞİL	HARARET MUSURU PEUGEOT P1007-P206-P307-P308-PARTNER & CITROEN BERLINGO-C2-C3-C4-C5  ***2 FİŞLİ YESIL		1338.F3 - 1338.F8 - 96566364	102-010			
