SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
21-1000	RENAULT		KLİMA BASINÇ MÜŞÜRÜ RENAULT LAGUNA I - MEGANE I - MASTER II		7700837219	104-033			
21-1001	RENAULT		KLIMA BASINC MUSURU RENAULT 19 ( 92-96 )		7700832447	103-008			
21-1002	RENAULT	***GRİ	KLİMA BASINÇ MÜŞÜRÜ RENAULT CAPTUR - CLIO IV - KADJAR - MEGANE III - SCENIC IV - TRAFIC III		921361722R-921366801R- 821366801R	103-059			
21-1005	RENAULT - DACIA - CITROEN - FORD - PEUGEOT	***SANDEN TIPI ***SARI KISA BYPASS	KLIMA KOMPRESOR MUSURU ***( SANDEN TIPI ) SARI KISA BYPASS RENAULT - DACIA - CITROEN - FORD - PEUGEOT		SD7V16 - SD7V12 - SD6V12				
21-1006	RENAULT		KLIMA BASINC MUSURU RENAULT MEGANE I - TWINGO I		7700424025	104-033			
21-1100	FIAT		KLİMA BASINÇ MÜŞÜRÜ FIAT PUNTO - DOBLO - MAREA - PALIO - ALBEA		46476438 - 60625482	106-012			
21-1101	FIAT		KLİMA BASINÇ MÜŞÜRÜ FIAT PUNTO I-II PALIO I -SIENA -BRAVO		7788280	104-034			
21-1102	FIAT		KLİMA BASINÇ MÜŞÜRÜ FIAT TEMPRA - TIPO -DUCATO		7741521 - 7730306 -	104-009K			
21-1200	PEUGEOT-CITROEN		KLİMA BASINÇ MÜŞÜRÜ PEUGEOT PARTNER P206 - P207 - P3008 - P307 - P308 - P406 - P407 - CITROEN BERLINGO -C3 -C4 -C5		6455.Z3 - 9647971280 - 9678362280	103-003			
21-1201	PEUGEOT-CITROEN	***CİVATALI TİP	KLİMA KOMPRESÖR BASINC MUSURU PEUGEOT 407 - CITROEN C5 ***CİVATALI TİP		7C161302F	102-010			
21-1202	PEUGEOT	***ESKİ MODEL	KLİMA BASINÇ MÜŞÜRÜ PEUGEOT PARTNER - 106 - 206 -306 - 406 ***ESKİ MODEL		9614390780 9615340680 - 6455.T2	104-007K			
21-1203	PEUGEOT-CITROEN		KLİMA KOMPRESÖR BASINC MÜŞÜRÜ PEUGEOT - CITROEN		CV-0461 CV-0461	102-010			
21-1204	PEUGEOT-CITROEN		KLİMA KOMPRESÖR BASINC MÜŞÜRÜ CITROEN - PEUGEOT		CV-7758 CV-7758	102-010			
21-1205	PEUGEOT-CITROEN		KLİMA KOMPRESÖR BASINC MÜŞÜRÜ CITROEN - PEUGEOT		CV-7708 CV-7708	102-010			
21-1206	PEUGEOT	***SİYAH	KLİMA BASINÇ MÜŞÜRÜ PEUGEOT PARTNER - P206 - P306 - P406 ***SİYAH		WUT.4205.0647 WUT-4205.0647	104-007K			
21-1207	PEUGEOT-CITROEN		KLİMA BASINÇ SENSÖRÜ PEUGEOT PARTNER - 308 - 407 - 3008 - 5008 - 508 - CITROEN C4 - C5 - C6		9653027380 - 9673006380	103-003			
21-1300	OPEL	***ANAHTAR AĞZI 14 MM ***SİYAH SOKET	KLİMA BASINÇ MÜŞÜRÜ OPEL ASTRA F - CORSA B - VECTRA A ***ANAHTAR AĞZI 14 MM ***SİYAH SOKET		1854773 - 90359991	104-007K			
21-1301	OPEL	***BEYAZ ***GRI SOKET	KLİMA BASINÇ MÜŞÜRÜ OPEL VECTRA B (95-03) ***BEYAZ ***GRI SOKET		1854779 - 90506751 - 90606751	104-007K			
21-1303	OPEL - FIAT		KLİMA BASINÇ MÜŞÜRÜ OPEL ASTRA G-H - CORSA C - FIAT LINEA - FIORINO -PUNTO -EGEA - 500C-L-X		6850512 - 50550372 - 46790717	103-006			
21-1304	OPEL		KLİMA BASINÇ MÜŞÜRÜ OPEL ASTRA F ( 92-98 ) - CORSA B ( 99-02 )		1854777 - 90451440 -				
21-1305	OPEL	***KARE SOKET	KLİMA BASINÇ MÜŞÜRÜ OPEL ASTRA F - VECTRA B  ***KARE SOKET		1854780 - 90506752 -	106-011			
21-1306	OPEL		KLİMA BASINÇ MÜŞÜRÜ OPEL ASTRA G-H-J - CORSA C-D-E - INSIGNIA A-B - VECTRA C A16LED		1236587 - 1352758 - 13502759	103-006			
21-1500	VOLKSWAGEN - AUDI		KLİMA BASINÇ MÜŞÜRÜ VW BORA - GOLF III-IV POLO - TRANSPORTER T4 - AUDI A3		1H0959139A - 1H0959139B - 7M959139	104-008-2			
