SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
10-1000	RENAULT		KRANK DEVİR SENSÖRÜ ( MANUEL ) SİYAH RENAULT CLIO I,II, KANGOO, MEGANE I		7700101969 - 6001548175 - 23798-00QAC	102-008-S			
10-1001	RENAULT		KRANK DEVİR SENSÖRÜ ( MANUEL ) SİYAH RENAULT CLIO, MEGANE, LAGUNA		7700101970 - 8200468645 - 4402560	102-008-S			
10-1002	RENAULT		KRANK DEVİR SENSÖRÜ RENAULT TRAFIC II, MEGANE II		8200676078 - 4418589 - 93859838	102-010			
10-1003	RENAULT		KRANK DEVIR SENSORU  RENAULT  CLIO / KANGOO / MEGANE		8200468646 - 23750-00Q0C - 7700273419A	102-008-S			
10-1004	RENAULT-DACIA		KRANK DEVİR SENSÖRÜ ( OTOMATİK ) MAVİ RENAULT CLIO II, MEGANE II - DACIA LOGAN		8200468647 - 8200647556 - 23750-00Q0E	102-008-M			
10-1005	RENAULT		KRANK DEVİR SENSÖR RENAULT CLIO, KANGOO 1.5 DCİ		23731-BN700 8200688406 - 8200439315 - 7700100566	102-008-S			
10-1006	RENAULT - OPEL		KRANK DEVİR SENSÖRÜ RENAULT TRAFIC, MASTER, MEGANE SCENIC, LAGUNA - OPEL VIVARO, MOVANO		8200443891 - 7700113552 - 4402729	102-008-S			
10-1007	RENAULT		KRANK DEVİR SENSÖRÜ RENAULT CLIO R19 MEGANE LAGUNA 132 mm		7700855719 - 7700728638 - 7700747548	102-152-1			
10-1008	RENAULT		KRANK DEVİR SENSÖRÜ RENAULT CLIO II - III, MEGANE II - III, LAGUNA II - III		8200260327 - 8200513668 - 93852584	102-010			
10-1009	RENAULT-DACIA		KRANK DEVİR SENSÖRÜ ( MANUEL ) MAVİ RENAULT KANGOO, LAGUNA, MEGANE, SCENIC, CLIO - DACIA DUSTER, LOGAN, SANDERO		8200647554 - 23750-00Q0H - 7700101971	102-008-M			
