SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
12-1001	RENAULT		OKSİJEN SENSÖRÜ RENAULT TRAFIC II, MASTER III		226A42850R				19.08.2025
12-1002	RENAULT	4 KABLO - TOPLAM BOY 510 mm	OKSIJEN SENSORU RENAULT CLIO II 1.6,  CLIO III 16V 4 KABLO ( TOPLAM BOY 510 mm )		8200052062 - 8200052063 - 6001549007	104-011			
12-1003	RENAULT		OKSIJEN SENSORU RENAULT R19, CLIO I, MEGANE I		7700870318 - 0258003189 - 0258003077	103-007-2			
12-1004	RENAULT-DACIA	TOPLAM BOY 510 mm	OKSIJEN SENSORU RENAULT CLIO II, SYMBOL - DACIA LOGAN, SANDERO ( TOPLAM BOY 510 mm )		8200632270 - 226A40713R - 22690-00Q0A	103-007-2			
12-1005	RENAULT-DACIA	TOPLAM BOY 490 mm	OKSIJEN SENSORU RENAULT CLIO II, SYMBOL - DACIA LOGAN, DUSTER ( TOPLAM BOY 490 mm )		7700274189 - 7700632270 - 6001549061 - 8201035691 - 8200668 - 8200668947	104-025			
12-1006	RENAULT-DACIA	TOPLAM BOY 340 mm	OKSIJEN SENSORU RENAULT CLIO, MEGANE, KANGOO - DACIA LOGAN, DUSTER (TOPLAM BOY 340 mm)		7700103504 - 7700875342 - 22690-00QAC	104-011			
12-1007	RENAULT-DACIA	TOPLAM BOY 420 mm	OKSIJEN SENSORU RENAULT CAPTUR, CLIO VI, KADJAR - DACIA DUSTER ( TOPLAM BOY 420 mm )		22632962R - 226932567R - 22690-00Q1L				
12-1009	RENAULT	TOPLAM BOY 710 mm	OKSIJEN SENSORU RENAULT CLIO I, II, KANGOO 1.2, 1.4 ( TOPLAM BOY 710 mm )		7700101345 - 7700864987 - 5227268	103-007			
12-1013	DACIA	TOPLAM BOY 520 mm	OKSIJEN SENSORU DACIA LOGAN 1.2, 1.4, 1.6 ( TOPLAM BOY 520 mm )		7700109844 - 6001549061 - 8201575684	104-011			
12-1019	RENAULT	TOPLAM BOY 370 mm	OKSIJEN SENSORU RENAULT CAPTUR, CLIO IV, KANGOO, MEGANE III ( TOPLAM BOY 370 mm )		8200771294 - 0258010062 - 8200650085	104-025			
12-1021	RENAULT-DACIA	5 KABLO - TOPLAM BOY 420 mm	OKSIJEN SENSORU ( 5 KABLOLU ) RENAULT CLIO IV, CAPTUR, MEGANE IV - DACIA DUSTER ( TOPLAM BOY 420 mm )		226A41733R - A0105424118 - 0281004221	106-042			
12-1024	RENAULT-OPEL	TOPLAM BOY 530 mm	OKSIJEN SENSORU RENAULT LAGUNA II, MEGANE II, CLIO, KANGOO, LAGUNA, MODUS, SCÉNIC - OPEL VIVARO		7700107541 - 7700107433 - 0258006046	104-011			
