SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
04-1000	RENAULT		PARK SENSÖRÜ RENAULT CLIO, MEGANE, SCENIC, LAGUNA, ESPACE, VEL SATIS, MASTER		8200138377 - 7701062624 -	KA-8001			
04-1001	RENAULT		PARK SENSÖRÜ RENAULT CLIO, MEGANE, SCENIC, LAGUNA, ESPACE, MASTER		8200138377 - 7701062624 -	KA-8003			
04-1002	RENAULT		PARK SENSÖRÜ RENAULT CLIO, MEGANE, SCENIC, LAGUNA, ESPACE		7701062074 - 7711135326 - 8200417705	KA-8004			
04-1003	RENAULT		PARK SENSÖRÜ RENAULT CLIO MEGANE SCENIC LAGUNA ESPACE		7701062074 - 7711135326 - 8200417705	KA-8006			
04-1004	RENAULT		PARK SENSÖRÜ RENAULT CLIO MEGANE SCENIC LAGUNA TWINGO KANGOO TRAFIC MASTER		7711134880 - 7711224385 - 8200049263	KA-8008			
04-1005	RENAULT		PARK SENSÖRÜ RENAULT CLIO MEGANE LAGUNA SCENIC KOLEOS KANGOO TRAFIC		248420026R - 284420027R - 284421300R	KA-8010			
04-1006	RENAULT		PARK SENSÖRÜ RENAULT CLIO III MEGANE III SCENIC III LAGUNA III KANGOO TRAFIC		8200412438 - 8200454718 - 284421414R	KA-8014			
04-1007	RENAULT		PARK SENSÖRÜ RENAULT FLUENCE MEGANE III CLIO IV		284420965R - 284420753R - 284420003R	KA-8013			
04-1007-1	RENAULT		PARK SENSÖRÜ RENAULT KOLEOS - NISSAN QASHQAI		284423778R - 284421815R				
04-1008	RENAULT		PARK SENSÖRÜ RENAULT CLIO IV MEGANE FLUENCE MODUS SCENIC CAPTUR KADJAR K		284429097R - 284426226R -	KA-8017			
04-1009	RENAULT		PARK SENSÖRÜ RENAULT FLUENCE MEGANE III		284384CC5B - 4422861 - 253491877R				
04-1010	RENAULT		PARK SENSÖRÜ DACIA LOGAN II / SANDERO II / DUSTER 4×2 RENAULT CAPTUR / CLİO IV		253A42318R				
04-1011	RENAULT		PARK SENSÖRÜ RENAULT CLIO IV MEGANE IV TALISMAN KADJAR KOLEOS		253A4-4101R - 253A4-0892R - 253A4-6778R				
04-1011-1	RENAULT		PARK SENSÖRÜ RENAULT TALISMAN		253A42085R 253A42085R / 0263033438				
04-1011-2	RENAULT		PARK SENSÖRÜ RENAULT CLIO IV MEGANE IV TALISMAN KADJAR KOLEOS		253A49995R - 253A43193R - 284382275R - 284389618R				
04-1012	RENAULT		PARK SENSÖRÜ DACIA DUSTER DOKKER SANDERO		284375765R				
04-1013	RENAULT		PARK SENSÖRÜ RENAULT KADJAR - KOLEOS - TALISMAN		253A41447R 253A41447R / 0263023290				
04-1014	RENAULT		PARK SENSÖRÜ RENAULT CAPTUR II		284382060R / 284388456R				
04-1015	RENAULT		PARK SENSÖR HOPARLÖRÜ (BUZZER) RENAULT LAGUNA II -MEGANE II-FLUENCE-AUDI-VW		256509418R - 8200259144 - 8200126841				
04-1016	RENAULT		PARK SENSÖR HOPARLÖRÜ (BUZZER) RENAULT LAGUNA II -MEGANE II-FLUENCE-AUDI-VW		256509418R - 259260363R				
04-1017	RENAULT		PARK SENSÖRÜ RENAULT MEGANE IV (MAKYAJLI KASA)		253A42426R				
04-1018	RENAULT		PARK SENSÖRÜ RENAULT MEGANE IV		253A42476R				
04-1100	FIAT		PARK SENSÖRÜ FIAT LINEA BRAVO FIORINO DOBLO DUCATO QUBO CORSA D		735411204 - 735440514 - 347236080	KA-8049			
04-1101	FIAT		PARK SENSÖRÜ FIAT PALIO DUCATO ALFA		46802909 - 51755060 - 735393479	KA-8004			
04-1102	FIAT		PARK SENSÖRÜ FIAT ULYSSE PHEDRA LANCIA		KA-800903	KA-8009			
