SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
50-1000	RENAULT		KALORIFER REZISTANSI RENAULT CLIO II - SYMBOL - KANGOO		7701067033	102-021K	103-015K		
50-1001	RENAULT		KALORIFER REZISTANSI RENAULT MASTER - MEGANE I - R19		7701033535	109-001			
50-1002	RENAULT		KALORIFER REZISTANSI RENAULT MEGANE II - CLIO III ***DİJİTAL KLİMALI		7701207718 - 7701048390 - 6441.L2	102-013	106-004		
50-1003	RENAULT		FAN REZISTANSI RENAULT CLIO - KANGOO - MEGANE		7701206244 - 8200538452 - 6001546309	102-028			
50-1004	RENAULT		KALORIFER REZISTANSI RENAULT CLIO II - SYMBOL		7701051272				
50-1005	RENAULT		KALORİFER REZİSTANSI RENAULT MEGANE III - FLUENCE		271507027R				
50-1006	RENAULT		KALORIFER REZISTANSI RENAULT MEGANE I - SCENIC		7701046943 - 7701046943 -	102-021K	103-014K	115-001	
50-1007	RENAULT		KALORIFER REZISTANSI RENAULT R9 - R11 - EXPRESS		7701028683 - 7701028683 -				
50-1008	RENAULT		KALORIFER REZISTANSI RENAULT MEGANE II ****MANUEL KLİMALI		7701207717	110-001			
50-1009	RENAULT		KALORIFER REZISTANSI RENAULT MEGANE I - SCENIC I - KANGOO		7701046941	102-021K	103-014K	115-001	
50-1010	RENAULT		KALORIFER REZISTANSI RENAULT CLIO II - SYMBOL		7701206351 - 7701206351	103-014K	102-027-K		
50-1011	RENAULT		KALORIFER REZISTANSI RENAULT SCENIC II 2003--		7701207876 - 7701207876 -	110-001			
50-1012	RENAULT		KALORIFER REZISTANSI RENAULT MEGANE III - FLUENCE		271502874R				
50-1013	DACIA		FAN REZISTANSI DACIA LOGAN		6001549117 - 6001549117 -	102-028			
50-1014	RENAULT - OPEL		FAN REZISTANSI RENAULT MASTER II - OPEL MOVANO 1.9		7701057557 - 7701057557 - 4415550	108-019			
50-1015	RENAULT - OPEL		KALORIFER REZISTANSI RENAULT TRAFIC II - OPEL VIVARO		7701208226 - 4413393 - 7701208226	102-021K	103-014K	115-001	
50-1016	RENAULT - OPEL		KALORIFER REZISTANSI RENAULT TRAFIC - OPEL VIVARO		7701050325 - 7701050325 -	102-021K	103-014K	115-001	
50-1017	RENAULT		KALORIFER REZISTANSI RENAULT LAGUNA II		7701207853 - 7701206540 -				
50-1018	RENAULT		KALORIFER REZISTANSI RENAULT R19 - CLIO - EXPRESS - KANGOO		7702217624 - 7701348874 - 7701033456				
50-1019	RENAULT		KALORİFER REZİSTANSI RENAULT TALISMAN **** !! LATITUDE DE ÇALIŞMAZ !!! ***		210209 271506902R / 210209				
50-1020	DACIA		KALORİFER REZİSTANSI DACIA LOGAN I		6001551674				
50-1021	RENAULT		KALORIFER REZISTANSI RENAULT CLIO II - KANGOO		7701206104 - 7701206104 -	102-027-K	102-027-K	115-001	
50-1022	RENAULT		KALORİFER REZİSTANSI DACIA LOGAN II MCV 1.5 SANDERO II 1.5 RENAULT CLIO SYMBOL 1.5		271504503R				
50-1023	RENAULT		KALORIFER REZISTANSI RENAULT CLIO III - MEGANE III		7701209850 - 6441.AF - 7701209850				
50-1024	RENAULT		KALORİFER REZİSTANSI RENAULT KANGOO		7701059206	102-021K	115-001		
50-1025	RENAULT		KALORİFER REZİSTANSI RENAULT CLIO IV-CAPTUR- PEUGEOT 3008-PARTNER III-CITROEN BERLINGO		271500017R - 1609171180- 9821291880	102-132	102-132-1		28.11.2024
50-1026	RENAULT		KALORIFER REZISTANSI RENAULT CLIO II		7701050900	102-021K	103-014K	115-001	
50-1027	RENAULT		KALORIFER REZISTANSI RENAULT MASTER I - MEGANE I - SCENIC I  >> UZUN GÖVDE <<		HLR.100045  7701040562	109-001			
50-1028	RENAULT		KALORIFER REZISTANSI RENAULT CLIO II		7701034875 - 7701034875 -				
50-1029	RENAULT		KALORIFER REZISTANSI RENAULT MASTER III - KANGOO III		271500889R - 271500889R -				
50-1030	RENAULT		FAN REZİSTANSI RENAULT MEGANE IV - TALISMAN		255508124R	102-029	104-025		30.11.2024
50-1032	RENAULT		KALORIFER REZISTANSI RENAULT MEGANE I		7701048356 - 7701048356 -	102-021K	103-014K	115-001	
50-1033	RENAULT		KALORIFER REZISTANSI RENAULT CLIO II - TWINGO		7701050736 - 7701050736 -	115-001			
50-1034	RENAULT		KALORIFER REZISTANSI RENAULT LAGUNA II		7701206541 - 7701206541 -				
50-1035	RENAULT - DACIA		FAN REZISTANSI DACIA LOGAN - RENAULT CLIO		8200612908 - 8200612908 -	102-028			
50-1035-1	RENAULT - DACIA		FAN REZISTANSI DACIA SANDERO - DUSTER - RENAULT FLUENCE - MEGANE II		8200612908 - 614936501R	102-028			
50-1036	RENAULT		KALORIFER REZISTANSI RENAULT MEGANE I		7701046061	102-021K	103-014K	115-001	
50-1036-1	RENAULT		KALORIFER REZISTANSI RENAULT MEGANE I ( FIS VE SOKET YERI FARKLI ) KLIMALI		7701046061	102-021K	103-014K	115-001	
50-1037	RENAULT - DACIA		FAN REZISTANSI RENAULT CLIO IV - DACIA DUSTER		255502585R - 255509263R - 255503792R	102-029	104-025		
50-1038	RENAULT		FAN REZISTANSI RENAULT CLIO III - TRAFIC I		7701049661 - 8200045082 -	102-028			
50-1039	RENAULT - DACIA		FAN REZISTANSI RENAULT CLIO IV - CAPTUR - DACIA DOKKER - LODGY		255505230R - 255505230R -	102-029	104-004		
50-1040	RENAULT		FAN MOTOR REZISTANSI RENAULT MASTER III  214934359R		7701040717  7701042681 214934359R	102-028			
50-1042	RENAULT		FAN REZISTANSI RENAULT FLUENCE - MEGANE III		214936501R - 214936501R -	102-028			
50-1043	RENAULT		KALORİFER REZİSTANSI CLIO III-MODUS		7701209803 7701060001	110-001			
50-1044	RENAULT		KALORIFER REZISTANSI RENAULT KANGOO III 2008--		7701068978 - 7701068978 -	110-001			
50-1045	RENAULT		KALORİFER REZİSTANSI RENAULT CLIO II - KANGOO II - MEGANE - SCENIC		41400 - 7701050890	102-021K	103-014K	115-001	
50-1046	RENAULT		KALORIFER REZISTANSI RENAULT CLIO II 1.5		7701057684 - 7701057684 -	102-021K	103-014K	115-001	
50-1047	RENAULT		KALORIFER REZISTANSI RENAULT CLIO - KANGOO		7701045553 - 7701045553 -	103-014K	102-027-K		
50-1048	RENAULT		FAN REZİSTANSI RENAULT TALISMAN MEGANE IV 1.5dCi CLIO IV 1.5dCi		255507773R	102-029	104-025		12.04.2025
50-1100	FIAT		FAN REZISTANSI FIAT DOBLO - ALBEA - PALIO		51736774 - 46533716 - 71733587				
50-1100-1	FIAT - PEUGEOT		FAN REZİSTANSI (BORDO) FIAT DOBLO - ALBEA - PALIO - FIORINO - DUCATO - PUNTO - PEUGEOT BOXER		HLR.100140 1267.A4 1267.H9 1267.J0 1267.J1				
50-1101	FIAT		KALORIFER REZISTANSI FIAT FIORINO / G. PUNTO / LİNEA / DUCATO & NEMO / JUMPER & BOXER / BİPPER & CORSA D/E		55702407 - 77364061 - 77364555	105-023			
50-1102	FIAT		KALORIFER REZISTANSI FIAT DOBLO		46723713 - 46722909 - 46723713	105-023-3			
50-1103	FIAT		KALORIFER REZISTANSI FIAT DUCATO - PEUGEOT BOXER -JUMPER 2.0 HDI		1306600080 - 1306600080 - 71732249 - 6441.A8				
50-1104	FIAT - OPEL		FAN REZISTANSI FIAT GRANDE PUNTO - OPEL CORSA D *** 3 FİŞLİ / SİYAH		55703589 - 55704057 - 1341641	103-074			
50-1105	FIAT		KALORIFER REZISTANSI FIAT TEMPRA TIPO		40527197				
50-1105-1	FIAT		KALORIFER REZISTANSI FIAT TEMPRA TIPO    *** KLIMASIZ		7734133 - 7772658 - 7596234				
50-1106	FIAT		FAN REZISTANSI FIAT LINEA		51799364 - 55702180	102-030			
50-1107	FIAT		KALORIFER REZISTANSI ( KLIMALI ) FIAT BRAVO - MAREA		46721774 - 46721774 -				
50-1108	FIAT		KALORIFER REZISTANSI G.PUNTO / 500 / LİNEA / CORSA D / C3-C4 PICASSO / PARTNER TEPE		6441.CE - 77366112 - 77367503 55702441 - 6845788 - 55702441	102-132	102-132-1		
50-1109	FIAT		KALORIFER REZISTANSI FIAT PALIO		7082388 - 7082388 -	105-023-3			
50-1110	FIAT		KALORIFER REZISTANSI FIAT DOBLO - ALBEA - PALIO - PUNTO		77364714 - 46721250	105-023-3			
50-1111-G	FIAT		FAN REZISTANSI FIAT GRANDE PUNTO - DOBLO *** GRİ		51890981 M51001900	102-030			
50-1111-S	FIAT		FAN REZISTANSI FIAT GRANDE PUNTO - DOBLO *** SİYAH		51890981	102-030			
50-1111-Y	FIAT		FAN REZISTANSI  FIAT GRANDE PUNTO - DOBLO *** YEŞİL		51890981 M51001000	102-030			
50-1112	FIAT		KALORIFER REZISTANSI FIAT EGEA - 500 - IVECO DAILY		77366489 - 42569369 -	102-132	102-132-1		
50-1113	FIAT		FAN REZİSTANSI FIAT 500 - EGEA & JEEP RENEGADE		HLR.100145 51926262	102-030			
50-1114	FIAT		FAN REZISTANSI FIAT DOBLO 1.3			102-030			
50-1115	FIAT		KALORIFER REZISTANSI FIAT TEMPRA TIPO    *** KLIMALI		7710279 - 82441525 - 60811987				
50-1116	FIAT		FAN REZİSTANSI FIAT EGEA  - 500L - 500X  *** YEŞİL		HLR.100156 - 51888625	102-030			
50-1117	FIAT		KALORİFER REZİSTANSI FIAT PUNTO 1.2 1.8 1.9 PUNTO VAN 1.2 1.9		46770818 - 46770860				
50-1118	FIAT		FAN REZİSTANSI FIAT GRANDE PUNTO LINEA 500 HB BRAVO II HB 1.4 1.6		55702180	102-030			25.01.2025
50-1200	PEUGEOT		KALORIFER REZISTANSI PEUGEOT 307		6450.JP - 9636618080 -	105-023-2			
50-1201	PEUGEOT		FAN REZISTANSI PEUGEOT 307 - PARTNER		1308.CN - 9649247680 - 1308.CN	102-029			
50-1202	PEUGEOT		KALORIFER REZISTANSI PEUGEOT 307		6441.AP - 6441.AL				
50-1203	PEUGEOT-CITROEN		KALORIFER REZISTANSI CITROEN BERLINGO - PEUGEOT 106 306 405		6441.78				
50-1204	PEUGEOT-CITROEN		FAN REZISTANSI PEUGEOT 206 - 307 - PARTNER - CITROEN BERLINGO		1267.63 - 1267.E3 - 1267.63	103-009			
50-1205	PEUGEOT		KALORIFER REZISTANSI PEUGEOT 3008 - 5008		6441.CQ				
50-1206	PEUGEOT-CITROEN		FAN REZISTANSI PEUGEOT 406 - CITROEN C5		1267.A9 - 1267.A9 -	103-009			
50-1207	PEUGEOT		FAN REZISTANSI PEUGEOT PARTNER - 306		6450.P7 -  6450.P7 -				
