SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
16-1000	RENAULT		ROLANTI AYAR MOTORU RENAULT R19, MEGANE, LAGUNA 2.0 16V		7700870084 - 8200211431	102-015K			
16-1003	RENAULT	D5134	ROLANTI AYAR MOTORU RENAULT CLIO, KANGOO D5134		7701044401	104-011			
16-1006	RENAULT	B28/00	ROLANTI AYAR MOTORU RENAULT CLIO II, MEGANE, LAGUNA 1.6 16V B28/00		8200299241 - 7700102539 - 8200692605	104-011			
16-1006-1	RENAULT	B28/00	ROLANTI AYAR MOTORU RENAULT CLIO II, MEGANE, LAGUNA 1.6 16V B28/00		8200299241 - 7700102539 - 8200692605	104-011			
16-1006K	RENAULT	B28/00	ROLANTI AYAR MOTORU RENAULT CLIO II MEGANE LAGUNA 1.6 16V B28/00 KUTUGU		8200299241 - 7700102539 - 8200692605				
16-1007	RENAULT		ROLANTI AYAR MOTORU RENAULT 19, MEGANE, LAGUNA 1.8 2.0		7700744614	102-015K			
16-1011	RENAULT	D5174	ROLANTI AYAR MOTORU RENAULT CLIO II, MEGANE I D5174		7701042784 7701047909 - 237811361R -	104-011			
16-1011-1	RENAULT	D5174	ROLANTI AYAR MOTORU RENAULT CLIO II, MEGANE I D5174		7701042784 7701047909 - 237811361R	104-011			
16-1012	RENAULT	D5177	ROLANTI AYAR MOTORU RENAULT CLIO, KANGOO D5177		7701206370	104-011			
16-1012-1	RENAULT	D5177	ROLANTI AYAR MOTORU RENAULT CLIO, KANGOO D5177		7701206370	104-011			
16-1015	RENAULT	B23/00	ROLANTI AYAR MOTORU RENAULT CLIO I, KANGOO, TWINGO B23/00		7701042403	104-011			
16-1100	ALFA ROMEO - VOLVO		ROLANTI AYAR MOTORU ALFA ROMEO 145, 146 1.7 - VOLVO		7733932 - 60598792 -	103-009			
16-1101	FIAT	B08/01	ROLANTI AYAR MOTORU FIAT PALIO, SIENA 1.4 B08/01		7076356	104-011			
16-1102	FIAT	B12/00-B12/01	ROLANTI AYAR MOTORU FIAT DOĞAN / KARTAL / ŞAHİN  SLX		9945035 - 9945633 -	104-011			
16-1102-1	FIAT	B12/00-B12/01	ROLANTI AYAR MOTORU FIAT DOĞAN / KARTAL / ŞAHİN  SLX		9945035 - 9945633 -	104-011			
