SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
55-1000	RENAULT	5 PIN 12V 40A SARI	FAN RÖLESİ ( 5 PIN 12V 40A SARI ) RENAULT CLIO II - MEGANE - KANGOO		7700844253 - 7701032100 - 7700810929	105-025			
55-1001	RENAULT-DACIA	5 PİN 12V 20/30A SİYAH	FAN RÖLESİ ( 5 PİN 12V 20/30A SİYAH ) DACIA DUSTER - RENAULT CLIO		7700414484 - 7700434883 - 0025428619				
55-1002	RENAULT-DACIA	4 PİN 20A KAHVERENGİ	BENZİN RÖLESİ ( 4 PİN 20A KAHVERENGİ ) RENAULT CLIO MEGANE - DACIA LOGAN		8200263342 - 8200263345 -				
55-1002-1	RENAULT	4 PİN 20A KAHVERENGİ	BENZİN RÖLESİ (4 PİN 20A KAHVERENGİ) RENAULT CLIO - MEGANE - DACIA LOGAN		8200263345				
55-1003	RENAULT-DACIA	4 PIN 12V 70A SİYAH - 2 PIN BÜYÜK FİŞ	MİNİ RÖLE ( 4 PIN 12V 70A SİYAH ( 2 PIN BÜYÜK FİŞ ) RENAULT CLIO - MEGANE - LAGUNA - ESPACE DACIA		7700821864				
55-1004	RENAULT	4 PIN 12V 60A KIRMIZI - 2 PIN ORTA BOY FİŞ	MİNİ RÖLE ( 4 PIN 12V 60A KIRMIZI ( 2 PIN ORTA BOY FİŞ ) RENAULT MEGANE I - CLIO II		8200253922 - 20240040				
55-1005	RENAULT-DACIA	4 PIN 12V 70A MAVİ - 2 PIN BÜYÜK FİŞ	MİNİ RÖLE ( 4 PIN 12V 70A MAVİ 2 PIN BÜYÜK FİŞ ) RENAULT - DACIA		8200351488 - 7700067553 - 8200587121				
55-1007	RENAULT	4 PIN 12V 40A PEMBE	MİNİ RÖLE ( 4 PIN 12V 40A PEMBE ) RENAULT CLIO - MEGANE - LAGUNA		8200308271 - 8200303271 - 20240041	105-025			
55-1008	RENAULT		KAPI İKAZ RÖLESİ RENAULT R9-R11 MEGANE		7700412030	105-025			
55-1009	RENAULT	4 PIN 12V 50A MOR - 2 PIN ORTA BOY FİŞ	MİNİ RÖLE ( 4 PIN 12V 50A MOR ( 2 PIN ORTA BOY FİŞ ) RENAULT MEGANE		7700810936 - 7700810933 -	105-025			
55-1012	RENAULT	ŞOK KAPTÖRÜ - KIRMIZI	DEVRE KESİCİ ( ŞOK KAPTÖRÜ ) KIRMIZI RENAULT KANGOO - CLIO - MEGANE		8200745485				
55-1013	RENAULT-DACIA	10 PİN	KLİMA KONTROL RÖLESİ RENAULT KANGOO - CLIO - DACIA LOGAN 10 PİN		8200095112A	110-010			
55-1014	RENAULT-DACIA	8 PİN	KLİMA KONTROL RÖLESİ RENAULT KANGOO - CLIO - DACIA LOGAN *** 8 PİN		8200095112B	110-010			
55-1016	RENAULT	4 PİN 12V 35A MAVİ	MİNİ RÖLE ( 4 PİN 12V 35A MAVİ ) RENAULT CLIO IV - LAGUNA		8200766081	105-025			
55-1017	RENAULT	4 PİN 12V 20A MAVİ	MİCRO RÖLE ( 4 PİN 12V 20A MAVİ ) RENAULT LAGUNA		8200766093 - 8200830500 - 29200072				
55-1018	RENAULT-OPEL	5 PİN 12V 40A GRİ	MİNİ RÖLE ( 5 PİN 12V 40A GRİ ) RENAULT - OPEL		8200587119	105-025			
55-1019	RENAULT	4 PİN 12V 25A YEŞİL	RÖLE ( 4 PİN 12V 25A YEŞİL ) RENAULT MEGANE		7700841004	105-025			
55-1020	RENAULT	5 PİN ( 12V 10/20A GRİ	BENZİN RÖLESİ 5 PİN ( 12V 10/20A GRİ ) RENAULT MEGANE - SCENİC		8200351490				
55-1021	RENAULT	4 PİN 12V 20A MAVİ	MİCRO RÖLE ( 4 PİN 12V 20A MAVİ ) RENAULT MEGANE III		8200900820				
55-1022	RENAULT-OPEL	5 PİN	MİCRO RÖLE 5 PİN RENAULT CLIO - OPEL VIVARO		8200587114				
55-1023	RENAULT	5 PİN 12V 35/ 40A GRİ	RÖLE ( 5 PİN 12V 35/ 40A GRİ ) RENAULT LAGUNA - MEGANE II		8200351489 - 20241077 7700844682 8200206271	105-025			
55-1024	RENAULT	4 PİN 12V 40A PEMBE	MİNİ RÖLE ( 4 PİN 12V 40A PEMBE ) RENAULT MEGANE - SCENİC - CLIO		8200338695	105-025			
55-1025	RENAULT-PEUGEOT	12V 5 PİN 25/A KAHVERENGİ	FLAŞÖR RÖLE ( 12V 5 PİN 25/A KAHVERENGİ ) RENAULT - PEUGEOT		3612	105-025			
55-1100	FIAT	BEYAZ İKİZ RÖLE - BEYAZ	YAKIT POMPA RÖLESİ ( BEYAZ İKİZ RÖLE ) ( BEYAZ ) FIAT TEMPRA - PALIO - MAREA		7767971 - 46744971 - 500309839	115-001			
55-1101	FIAT	12V 5 PİN 20A KIRMIZI	MİCRO RÖLE (12V 5 PİN 30A KIRMIZI) FIAT PALIO - BRAVO - DUCATO - EGEA		46520422 - 46520432				
55-1102	FIAT	SİYAH	RÖLE KONTROL ÜNİTESİ - SIGORTA KUTUSU RÖLESİ (SİYAH) FIAT LINEA		HLR.100111 51793487	115-001			
55-1103	FIAT	5 PİN	FAN RÖLESİ 5 PİN FIAT PALIO - ALBEA - BRAVO - MAREA - DUCATO		46520438 210170	105-025			
55-1104	FIAT	12V 50A 4 PİN 2 PİN BÜYÜK ANA RÖLE SİYAH	FAN RÖLESİ ( 12V 50A 4 PİN 2 PİN BÜYÜK ANA RÖLE SİYAH ) FIAT LINEA - PUNTO - PALIO		46520439 - 11131087 -				
55-1105	FIAT	12V 20 A 4 PİN SİYAH	MİCRO RÖLE ( 12V 20 A 4 PİN SİYAH ) FIAT DUCATO		46520432				
55-1108	FIAT	KABLOLU	DÖRTLÜ SİNYAL FLAŞÖRÜ KABLOLU FIAT TOFAŞ M131 DOĞAN KARTAL ŞAHİN		85004787				
55-1109	FIAT	12V 50A 4 PİN	FAN RÖLESİ ( 12V 50A 4 PİN ) FIAT DUCATO		46537685	105-025			
55-1110	FIAT-ALFA ROMEO	12V 30A 4 PİN SARI	MİCRO RÖLE ( 12V 30A 4 PİN SARI ) FIAT 500 - ALFA ROMEO		34F231015				
55-1111	FIAT-ALFA ROMEO-LANCIA	12V 30A 4 PİN KIRMIZI	MİCRO RÖLE ( 12V 30A 4 PİN KIRMIZI ) FIAT - LANCIA - ALFA ROMEO		1/11318/85				
55-1112	FIAT	12V 30A 5 PİN SARI	BENZİN RÖLESİ ( 12V 30A 5 PİN SARI ) FIAT ALBEA - PALİO		46451295 - 4320629 - 46520416	105-025			
55-1113	FIAT	KABLOLU 12V	SİNYAL FLAŞÖRÜ KABLOLU 12V FIAT TOFAŞ DOĞAN ŞAHİN KARTAL		85004787				
55-1114	FIAT	BEYAZ İKİZ RÖLE - BEYAZ	YAKIT POMPA RÖLESİ  FIAT TOFAŞ SLX		HLR.100113 46414326	115-001			
55-1115	FIAT	12V 10A/20A 5 PİN KAHVERENGİ	MİCRO RÖLE ( 12V 10A/20A 5 PİN KAHVERENGİ ) FIAT ALBEA - PALIO - DOBLO						
55-1116	FIAT	5 FİŞLİ	SİNYAL RÖLESİ ( SİGORTA KUTU İÇİ ) 5 FİŞLİ FIAT DOBLO		CF2-12v ACF 231				
55-1117	FIAT	12V 10A/20A 4 PİN SİYAH	MİCRO RÖLE (12V 10A/20A  4 PİN SİYAH) FIAT ALBEA - PALIO MTJ - DOBLO		3615 0603010				
55-1202	PEUGEOT-CITROEN	SİYAH İKİZ RÖLE	YAKIT POMPA RÖLESİ PEUGEOT P106 1,6 - CITROEN XSARA 1,4 / 1,6 / 1,8		1920.3X - 96196965 - 96271095	115-001			
55-1203	PEUGEOT-CITROEN	12V 25A 5 PIN SARI	KLİMA RÖLESİ  PEUGEOT - CITROEN		9673062180 - 34F231308 -				
55-1204	PEUGEOT	12V 5 PIN SİYAH	RÖLE ( 12V 5 PIN SİYAH )		4RA003510-13	105-025			
55-1205	PEUGEOT - CITROEN	12V 35A 5 PIN YEŞİL	FAN RÖLESİ PEUGEOT 206, 207, 306, 307, 406, 407, 807 - CITROEN C3, C5, JUMPER, JUMPY, SAXO, XSARA, ZX		6547.TX - 6555.68 -	105-025			
55-1206	PEUGEOT- CITROEN	KAHVERENGİ İKİZ RÖLE	YAKIT POMPA RÖLESİ PEUGEOT P106 - P206 - P306 - P406 - P607 - PARTNER /  CITROEN BERLINGO - C8 - C5 - SAXO - XSARA		1920.7L	115-001			
55-1207	PEUGEOT- CITROEN	KAHVERENGİ İKİZ RÖLE	YAKIT POMPA RÖLESİ PEUGEOT PARTNER P106 - P306 / CITROEN BERLINGO SAXO		1920.3N - 9627109680 -	115-001			
55-1300	OPEL	12V 15A SİYAH 6 PIN	YAKIT POMPA RÖLESİ ( 12V 15A SİYAH 6 PIN ) OPEL ASTRA G - ASTRA H - ASTRA F- CALIBRA - VECTRA A		1238966 - 90378651				
55-1302	OPEL	5 PİN 12V YEŞİL	MİCRO RÖLE ( 5 PİN 12V YEŞİL ) OPEL INSIGNIA		1238891 - 13500116 -				
55-1303	OPEL		KLİMA RÖLESİ OPEL ASTRA G - CORSA C - COMBO C - MERIVA A - OMEGA B - VECTRA A - B - ZAFIRA		6238564 - 1238604 - 6238515	105-025			
55-1304	OPEL	5 PİN 12V	KLİMA FAN RÖLESİ ( 5 PİN 12V ) OPEL OMEGA B - VECTRA B		6238501 - 90459640 -	105-025			
55-1305	OPEL	12V 40A 4 PİN	KLİMA FAN RÖLESİ ( 12V 40A 4 PİN ) OPEL ASTRA F - OMEGA B - VECTRA B - ZAFIRA		90450169 - 6238516 -	105-025			
55-1306	OPEL	12V 40 A 4 PİN	YAKIT POMPA RÖLESİ ( 12V 40 A 4 PİN ) OPEL ASTRA G - VECTRA B 12V/40 A		6238525 - 6238522 - 6238534	105-025			
55-1307	OPEL	12V 6 PİN	SİLECEK RÖLESİ ( 12V 6 PİN ) OPEL ASTRA F - VECTRA A - CORSA B		1238550 - 1249084 - 4708100				
55-1308	OPEL	12V 30A YEŞİL 4 PİN	RADYATÖR FAN RÖLESİ ( 12V 30A YEŞİL 4 PİN ) OPEL VECTRA A - VECTRA B		1238611  0332019451 - 141951253 -	105-025			
55-1309	OPEL	12V 4 PİN	SİS KORNA ÖN SİNYAL FAR RÖLESİ ( 12V 4 PİN ) OPEL ASTRA G - ASTRA F - CORSA D - MERIVA A		1238505 - 1235278 - 6238605				
