SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
95-1000	RENAULT	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 30"+26" ) RENAULT SCENIC III  GRAND SCENIC 2008--  750mm + 650mm		12104107 AÖ30	750MM+650MM	30"+26"		
95-1001	RENAULT OPEL IVECO	ARACA ÖZEL	METAL TİP TELLİ  SİLGİ SÜPÜRGESİ TAKIMI (24'' +24'') RENAULT MASTER II ESPACE OPEL MOVANO IVECO DAILY 2006--  ( SU FİSKİYELİ ) 600mm + 600mm		12204850	600MM+600MM	24"+24"		
95-1002	RENAULT	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 24"+18" ) RENAULT MEGANE II MEGANE IV TALISMAN  600mm + 450mm		12104102 AÖ30	600MM+450MM	24"+18"		
95-1003	RENAULT PEUGEOT CITROEN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 24"+16" ) RENAULT CLIO III 2005> SYMBOL 2008> FLUENCE MEGANE III PEUGEOT 301 CITROEN C3 PICASSO C-ELYSEE DS3  600mm + 400mm		12104101	600MM+400MM	24"+16"		
95-1004	RENAULT DACIA	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 22"+19" ) RENAULT LOGAN II 2015> DACİA SANDERO II 550mm + 480mm		12115135 95-505 AÖ30 95-1004	550MM+480MM	22"+19"		
95-1005	RENAULT MERCEDES NISSAN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 23"+21" ) RENAULT KANGOO II-III 2008-> MERCEDES-BENZ CITAN 2012-- NİSSAN NV250 2019-- 580mm + 530mm		12104105 95-502 AÖ30 95-1005	580MM+530MM	23"+21"		
95-1006	RENAULT	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+14" ) RENAULT CLIO IV 2012--> CAPTUR 2013--- 650mm + 350mm		12104106 95-504 AÖ30 95-1006	650MM+350MM	26"+14"		
95-1007	RENAULT CITROEN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+16" ) RENAULT LAGUNA III 2007--> CITROEN C3 II 2009---  650mm + 400mm		12104103 AÖ30	650MM+400MM	26"+16"		
95-1008	RENAULT DACIA NISSAN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+18" ) DACIA DUSTER 2012--> NISSAN TERRANO 2016-- 600mm + 450mm		12115136	600MM+450MM	26"+18"		
95-1009	RENAULT DACIA	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 22"+16" ) DACIA DOKKER 2015--> DACIA LODGY 2015--  550mm + 400mm		12115137	550MM+400MM	22"+16"		
95-101	RENAULT FIAT	ARACA ÖZEL	ÖN SİLECEK SÜPÜRGESİ + KOL   DKŞ  SLX		12205250  85009283				
95-1010	RENAULT	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+16" ) RENAULT CAPTUR 2016-->  650mm + 400mm		12104108   3397014311	650MM+400MM	26"+16"		
95-1011	RENAULT	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 28''+12'' ) RENAULT CLIO V ( BF ) 2019--  700mm + 300mm		12104109	700MM+300MM	28"+12"		
95-1100	FIAT ALFA ROMEO CHEVROLET	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+15" ) FIAT LINEA  03,2007> GRANTE PUNTO EVO ALFA ROMEO MITO CHEVROLET AVEO 650mm + 380mm		12107302 - 95-1304 MXL	650MM+380MM	26"+15"		
95-1101	FIAT	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+19" ) FIAT FIORINO 225 12,2007> QUBO 300 02,2008>		AÖ30 95-108 95-1101 SNT 12105050 95-1101	650MM+480MM	26"+19"		
95-1102	FIAT CITROEN PEUGEOT TOYOTA	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 24"+17" ) FIAT BRAVO 07,2007-12,2014 BERLİNGO PARTNER RIFTER  2018-- TOYOTA PROACE 2019--   600mm+430		12105002 AÖ45	600MM+430MM	24"+17"		
95-1103	FIAT RENAULT FORD	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 24"+14" ) FIAT 500 312 07,2007> 500C 312 07,2009> 500X RENAULT ZE 2013-- FORD KA 201-- 600mm + 350mm		12105054 AÖ45	600MM+350MM	24"+14"		
95-1104	FIAT SEAT FORD OPEL PEUGEOT CITROEN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 24"+16" ) FIAT DOBLO 2010-- SEAT IBIZA 2008--  FORD KUGA SUV 2008-- RANGER 2015-- OPEL COMBO D 2012-- PEUGEOT 2008 II & 208 2019--  CITROEN C3 PICASSO 2009-- 600mm + 400mm		95-105	600MM+400MM	24"+16"		
95-1105	FIAT PEUGEOT CITROEN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+22" ) DUCATO , PEUGEOT BOXER , CITROEN		95-106	650MM+550MM	26"+22"		
95-1200	PEUGEOT CITROEN FORD RENAULT	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 30"+26" ) PEUGEOT 308 09.2007-08-2013 308 CC 03,2009 CITROEN C4 DS4 DS5 FORD S-MAX RENAULT ESPACE  750mm+650mm		12111204 AÖ45	750MM+650MM	30"+26"		
95-1201	PEUGEOT CITROEN VOLKWAGEN MERCEDES BENTLEY	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 28"+28" ) PEUGEOT 407 2005-- CITROEN C5 C6 2005-->  GOLF IV 2004- TOURAN 2006-- MERCEDES S SERISI W220 W221 2005-- BENTLET ARNAGE 2002-- 700mm + 700mm		12111203 AÖ10	700MM+700MM	28"28"		
95-1202	PEUGEOT CITROEN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+20" ) CITROEN JUMPY K0 PANELVAN/VAN 04,2016>		12113223 AÖ30	650MM+500MM	26"+20"		
95-1203	PEUGEOT CITROEN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 31"+30" ) CITROEN C4 PICASSO II B78 02,2013-07,2016 C4		12113222 AÖ45	800MM+750MM	31"+30"		
95-1204	PEUGEOT FIAT CITROEN FORD TOYOTA	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+16" ) FİAT EGEA  PEUGEOT PARTNER TEPEE II 2008> P208 2013>  P2008 CITROEN C3 FORD FİESTA VI TOYOTA AVENSİS   650mm + 400mm		12111211 95-400 AÖ45	650MM+400MM	26"+16"		
95-1205	PEUGEOT MERCEDES	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 28"+26" ) PEUGEOT 307 2004-- MERCEDES VIANO 2003---   700mm + 650mm		12111201 AÖ50	700MM+650MM	28"+26"		
95-1206	PEUGEOT CITOREN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 28"+24" ) PEUGEOT P307 2003-- CITROEN C4 I 2004--  700mm + 600mm		AÖ50 12111202	700MM+600MM	28"+24"		
95-1207	PEUGEOT	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 32"+27" ) PEUGEOT 3008,5008 2009-2016  800mm + 680mm		12111205  AÖ45	800MM+680MM	32"+27"		
95-1208	PEUGEOT OPEL	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+26" ) PEUGEOT 508 2010--> RCZ 2010--- OPEL ASTRA J  2009---		12111206 AÖ45	650MM+650MM	26"+26"		
95-1210	PEUGEOT CITROEN	ARACA ÖZEL	ARACA ÖZEL ÖN SİLECEK TAKIMI ( 32"+30" ) CİTROEN C4 2008--  C4 PICASSO 2008---  800mm + 750mm		12113221	800MM+750MM	32"+30"		
95-1300	OPEL RENAULT PEUGEOT CITROEN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 28"+32" ) RENAULT SCENIC IV 2016-- PEUGEOT 3008 2009-- CITROEN C4 2018--  OPEL ZAFIRA C 2011>   800mm + 700mm		12107304 AÖ35	800MM+700MM	28"+32"		
95-1301	OPEL CITOREN	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 28"+22" ) OPEL ZAFIRA B 2005--  CITROEN C5 III 2008---  700mm + 550mm		12107305 AÖ50	700MM+550MM	28"+22"		
95-1302	OPEL MERCEDES	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 22"+18" ) OPEL ASTRA H 2004---  MERCEDES GLK X204 2008--- 550mm + 450mm		12107301 95-350 AÖ10 12107301	550MM+450MM	22"+18"		
95-1303	OPEL	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 27"+25" ) OPEL ASTRA J 2011-->ASTRA K 2015---   675mm + 625mm		12107303  AÖ45	675MM+625MM	27"+25"		
95-1304	OPEL	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+16" ) OPEL CORSA D 09,2006-08,2015 CORSA E 01,2015> 650mm + 400mm		12105001 95-1100 MXL 95-352 AÖ50 12107302	650MM+400MM	26"+16"		
95-1305	OPEL HYUNDAI KIA TOYOTA	ARACA ÖZEL	HYBRİD SİLGİ SÜPÜRGESİ TAKIMI ( 24"+18'' ) OPEL INSIGNIA A 2008-- VECTRA C 2002-- HYUNDAİ SANTA-FE 2006-- KİA CEED 2006-- SORENTO 2002-- SPORTAGE 2010-- TOYOTA RAV II 2000--   600mm + 450mm		12425480  AÖ80	600MM+450MM	24"+18"		
95-1306	OPEL FIAT HYUNDAI KIA CHEVROLET	ARACA ÖZEL	MUZ TİPİ SİLGİ SÜPÜRGESİ ( 26"+14" ) OPEL MOKKA 2012-- FIAT 500 2014-- HYUNDAI İX20 2010-- KİA VENGA 2009--  CHEVROLET T-RAX 2012-- 650mm + 340mm		12103502	650MM+340MM	26"+14"		
