SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	etiket
100-001	00 PİN	                	51-0001 KABLO BIRLESTIRICI ( KUCUK BOY KIRMIZI LEHIMLI )		
100-002	00 PİN	                	51-0002 KABLO BIRLESTIRICI ( ORTA BOY MAVI LEHIMLI )		
100-003	00 PİN	                	51-0003 KABLO BIRLESTIRICI ( BUYUK BOY SARI LEHIMLI )		
101-001	01 PİN	RENAULT                	51-1021-2 RENAULT  YAG MUSUR SOKETI SIYAHI ( 1 PIN )		1012 1K012 5767 1S011 1012 1K002
101-001-1	01 PİN	RENAULT                	51-1021 RENAULT     YAĞ MÜŞÜR SOKETİ BEYAZ (1 PİN)		1011 1K011 5767 1S010 1011
101-002K	01 PİN	 FIAT PEUGEOT OPEL             	51-1047 SUPER SEAL YAĞ MÜŞÜR SOKET FIAT OPEL PEUGEOT IVECO ( 1 PIN )		1001 1K001 5505 1S001 1001 1K001
101-003K	01 PİN	 FIAT PEUGEOT OPEL             	51-1048 SUPER SEAL YAĞ MÜŞÜR SOKET FIAT OPEL PEUGEOT IVECO  SOKET KARSILIGI ( 1 PIN )		1001E 1K001E 5672 1S002 1001E 1K001E
101-004	01 PİN	  PEUGEOT  VOLKSWAGEN            	51-1094 PEUGEOT / VOLKSWAGEN VW YAG MUSUR SOKETI ( 1 PIN )		1005 1K005 6860C 1S007 1005 1K005
101-004-1	01 PİN	  PEUGEOT  VOLKSWAGEN            	51-1095 PEUGEOT / VOLKSWAGEN VW YAG MUSUR SOKETI ( 1 PIN )	YENİ	1005A 1K005A 6860A 1S005
101-004-2	01 PİN	  PEUGEOT  VOLKSWAGEN            	51-1283 PEUGEOT / VOLKSWAGEN VW YAG MUSUR SOKETI ( 1 PIN )		1004 1K004 6860B 1S006 1004 1K004
101-004-3	01 PİN	    VOLKSWAGEN            	51-1448 VOLSKWAGEN VW MARS OTOMATIK SOKETI ( 1 PIN )		1006 1K004 6860B 1S008 1006 1K006
101-004-4	01 PİN	    VOLKSWAGEN            	VOLSKWAGEN VW  SOKET( 1 PIN )		1K007 1S008
101-005	01 PİN	 FIAT      FORD         	51-1225-2 YAG MUSUR SOKETI ( 1 PIN )		1007 1K007 5282 1S004 1007 1K007
101-005-1	01 PİN	 FIAT      FORD         	51-1225-1 FIAT / FORD YAG MUSUR SOKETI ( 1 PIN )		1017 1K007A 1K007A
101-006	01 PİN	RENAULT                	51-1465 JAPON /RENAULT SOKET ( 1 PIN )		1002 1K002 1S016 1002
101-007	01 PİN	                	51-1466 JAPON - HONDA VURUNTU SENSÖR SOKETi ( 1 PIN )		1008 1K008 1S015 1008
101-008	01 PİN	       FORD         	51-1119 DENSO SOKET UST TIRNAK ( 1 PIN )		5881 1S019
101-009	01 PİN	                	51-1463 JAPON YAĞ BASINÇ SENSÖR SOKET ( 1 PIN )	YENİ	1010 1K010 5223 1S012 1010 1K010
101-010	01 PİN	                	51-1467 JAPON SOKET ( 1 PIN )		1009 1K009 1S014 1009 1K009
101-011	01 PİN	                	51-1515 YAG MUSUR SOKETI ( 1 PIN )		1009A 1K015 5237
101-012	01 PİN	RENAULT FIAT PEUGEOT OPEL VOLKSWAGEN  MERCEDES FORD   HYUNDAI     PMC 	51-1273 ÜNİVERSAL KIZDIRMA BUJI SOKETI GEÇMELİ TİP TÜM ARAÇLAR İÇİN ( 1 PIN )		1003 1K003 5060 1S017 1003 1K003
101-013	01 PİN	                	51-1546 H1 AMPUL SOKETI ( 2 PIN )		H1 6051 HB01
101-014	01 PİN	                	JAPON TIPI SOKET (1 PİNLİ)	YENİ	1018
101-015	01 PİN	                	JAPON TIPI SOKET (1 PİNLİ)	YENİ	1013 1K013
102-001	02 PİN	RENAULT FIAT  OPEL            PMC 	51-1000-1 FIAT/OPEL  BOSCH  SOKET ***OEM TİPİ  **** MTA KİLİTLİ  ( 2 PIN )		2020 2K020 5506 2S045 2020 2K020
102-001*	02 PİN	RENAULT FIAT  OPEL            PMC 	51-1000 FIAT/OPEL  BOSCH TIPI SOKET ( 2 PIN )		2020 2K020 5506 2S045 2020 2K020
102-002	02 PİN	                	51-1449  JAPON PARK SİNYAL -BOSCH TIPI ENJEKTOR SOKETI ( 2 PIN )		2033 2K033 2S126 2033 2K033
102-002-1	02 PİN	                	JAPON PARK SİNYAL -BOSCH TIPI ENJEKTOR SOKETI ( 2 PIN )		2033C
102-003	02 PİN	RENAULT               PMC 	51-1019 RENAULT / DACİA DELPHI ENJEKTOR SOKETI ( 2 PIN )		2002 2K002 5678 2S049 2002 2K002
102-004	02 PİN	      MERCEDES    HYUNDAI     PMC 	51-1020 HYUNDAİ M.BENZ DELPHI YM ENJEKTOR SOKETI ( 2 PIN )		2002A 2K002A 9698 2S050 2002A 2K002A
102-005	02 PİN	  PEUGEOT  VOLKSWAGEN   FORD   HYUNDAI     PMC 	51-1082 DENSO DİZEL ENJEKTÖR & JAPON ARAÇ BENZİNLİ ENJEKTOR SOKETI ( 2 PIN ) VW HYUNDAİ TRANSİT JUMPER BOXER ****ÜST TIRNAK		2021 2K021 5547 2S046 2021 2K021
102-005-1	02 PİN	                	51-1082-1 ENJEKTOR SOKETI BENZINLI ( 2 PIN ) ***ALT TIRNAK		2021A 2K021A 2S048 2021A 2K021A
102-005-2	02 PİN	        NISSAN   MITSUBISHI     	DENSO ENJEKTÖR SOKETİ - NISSAN - MITSUBISHI ***ÜST TIRNAK ( 2 PIN )		2089 2K077
102-006	02 PİN	                	51-1083 JAPON  ENJEKTOR SOKETI ( 2 PIN )		2034 2K034 5884 2S047 2034 2K034
102-007	02 PİN	    VOLKSWAGEN           PMC 	51-1207 VW T5 130 LUK PASSAT ENJEKTOR SOKETI ( 2 PIN )		5671
102-008-M	02 PİN	RENAULT                	51-1007 RENAULT VOLANT OKUYUCU - MANYETIK KAPTOR SOKETI MAVI ( 2 PIN )		2012M 2K012M 5099B 2S171 2012M 2K012M
102-008-S	02 PİN	RENAULT                	51-1006-S RENAULT VOLANT OKUYUCU SİS FAR - MANYETIK KAPTOR SOKET SIYAH ( 2 PIN )		2012 2K012 5099A 2S170 2012 2K012
102-009	02 PİN	 FIAT  OPEL             	51-1084 FIAT/OPEL KRANK DEVIR SENSÖRÜ + BRC ENJEKTOR SOKETI ( 2 PIN )		2026 2K026 5763 2S134 2026 2K026
102-010	02 PİN	RENAULT FIAT PEUGEOT     FORD      VOLVO  PMC KONJEKTOR	51-1008 PEUGEOT/RENAULT SIGMA SOKET ( 2 PIN )		2005 2K005 5542 2S131 2005 2K005
102-010-G	02 PİN	                	SİGMA 2 Lİ SOKET *** GRİ		
102-010-Y	02 PİN	                	SİGMA 2 Lİ SOKET *** YEŞİL		2005Y
102-010-K	02 PİN	                	SİGMA 2 Lİ SOKET *** KAHVERENGİ		
102-010-M	02 PİN	                	SİGMA 2 Lİ SOKET *** MAVİ		
102-010-SARI	02 PİN	                	SİGMA 2 Lİ SOKET *** SARI		
102-010-SIYAH	02 PİN	                	SİGMA 2 Lİ SOKET *** SIYAH		
102-010-ÇK	02 PİN	                	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ / *** KAHVE		2005A 2S131
102-010-ÇS	02 PİN	                	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ / *** SİYAH		
102-010-ÇY	02 PİN	                	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ / *** YEŞİL		
102-010-E	02 PİN	                	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ / *** EURO  /   *** TESİSATTAN KESME		2005B
102-010-YMY	02 PİN	                	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ Y.M / *** YEŞİL		2005A
102-010-YMB	02 PİN	                	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ Y.M / *** BEYAZ		2005A
102-010-YMK	02 PİN	                	SİGMA 2 Lİ SOKET ** ÇERÇEVELİ Y.M / *** KIRMIZI		2005A
102-011	02 PİN	                	51-1009 SIGMA SOKET KARSILIGI ( 2 PIN )		5892
102-011-1	02 PİN	                	51-1009-1 SIGMA SOKET KARSILIGI OEM ( 2 PIN )		2005E 2S132 2K005E
102-012	02 PİN	RENAULT                	51-1022-1 JAPON SU FISKİYE MOTORU - RENAULT KALEM BOBIN SOKETI ( 2 PIN )		2013A 2K013A 5516 2S172 2013A 2K013A
102-012-1	02 PİN	         TOYOTA       	51-1022-2 TOYOTA FISKIYE MOTOR SOKETI  ( 2 PIN )		2013B 2K013B 2013B 2K013B
102-013	02 PİN	RENAULT                	51-1028 RENAULT MEGANE II DIJITAL KLIMA REZISTANS SOKETI ( 2 PIN )   ***KALIN KABLOLU		2032 2K032 2026A 2S138 2032 2K032
102-014	02 PİN	RENAULT                	51-1323 RENAULT PARK LAMBA VE KAPI SWİC -FREN MUSUR SOKETI ( 2 PIN )		2032A 2K032A 2026 2S139 2032A 2K032A
102-015K	02 PİN	RENAULT FIAT  OPEL VOLKSWAGEN           PMC 	51-1032-1 UNIVERSAL & BENZİN ENJEKTÖR SOKETİ  ****ORJİNAL ÜRÜN ( 2 PIN )		2004 2K004 5094 2S043 2004 2K004
102-015-1	02 PİN	                	UNIVERSAL TELLİ SOKET KAHVERENGİ (2 PİN)		2004K
102-015-2	02 PİN	             VOLVO   	UNIVERSAL TELLİ ENJEKTÖR SOKETİ VOLVO ***KAHVERENGİ (2 PİN)		2004F
102-015-3	02 PİN	                	51-1032 UNIVERSAL & BENZİN ENJEKTÖR HARARET MÜŞÜR SOKETİ ( 2 PIN )		2004FA
102-015G	02 PİN	                	UNIVERSAL TELLİ SOKET GRİ (2 PİN)		2004G
102-015M	02 PİN	                	UNIVERSAL TELLİ SOKET MAVİ (2 PİN)		2004M
102-016	02 PİN	               PMC 	51-1033 UNIVERSAL İKİ YAYLI ERKEK  SOKET KARSILIGI ( 2 PIN )		2004E 2K004E 5689A 2S044 2004E 2K004E
102-017	02 PİN	    VOLKSWAGEN  MERCEDES          	51-1034 MERCEDES / VOLKSWAGEN ENJEKTOR- SU FISKİYE MOTOR SOKETI ( 2 PIN )		2004A 2S041 2004A 2K004A
102-018	02 PİN	                	51-1035 ENJEKTOR SOKETI KARSILIGI ( 2 PIN )		2K004AE
102-019	02 PİN	       FORD         	51-1036  FORD SU FISKIYE MOTOR SOKETI ( 2 PIN )		2004B 2K004B 2140 2S042 2004B 2K004B
102-020	02 PİN	   OPEL VOLKSWAGEN            	51-1555 OPEL VW  KORNA SOKETI ( 2 PIN )		2004C 2K004C 2048 2S039 2004C
102-021K	02 PİN	RENAULT FIAT  OPEL             	51-1049-1 SUPER SEAL SOKET SİS FAR SOKETİ - OPEL DIŞ SICAKLIK - FİAT GERİ VİTES  ( 2 PIN )		2024 5088 2S061 2024 2K024
