SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
14-1000	RENAULT		VURUNTU SENSÖRÜ RENAULT KANGOO MEGANE LAGUNA TRAFIC		7700735564 - 6001543613	102-015K			
14-1001	RENAULT		VURUNTU SENSÖRÜ RENAULT MEGANE III SCENIC III		8200789728	102-084			
14-1100	FIAT		VURUNTU SENSÖRÜ FIAT BRAVO PALIO MAREA		60602832	103-009			
14-1101	FIAT		VURUNTU SENSÖRÜ FIAT DOBLO LİNEA PALİO PUNTO		46538111 - 55269065 - 46815152	102-082			
14-1201	PEUGEOT - CITROEN - RENAULT		VURUNTU SENSÖRÜ CITROEN C3 C4 C5 RENAULT 108 206 207 307 308 406		13627535067 - 5946.31 -	102-010			
14-1202	PEUGEOT - CITROEN		VURUNTU SENSÖRÜ PEUGEOT 206 CITROEN C5		6235703 - 9638423480 - 9616808480	102-015K			
14-1300	OPEL - HYUNDAI		VURUNTU SENSÖRÜ FRONTERA A - HYUNDAI ACCENT - LANTRA		9612765880 - 5946.20 - 7401367643 -39250-22010	103-009			
14-1301	OPEL		VURUNTU SENSÖRÜ OPEL ASTRA H CORSA B X12XE		6238102 - 46552951 - 90543510	102-001			
14-1302	CHEVROLET		VURUNTU SENSÖRÜ OPEL ANTARA- CHEVROLET LACETTI- AVEO- KALOS		96253545 - 96386710 - 4805506	103-009-3			
14-1303	OPEL		VURUNTU SENSÖRÜ OPEL OMEGA B VECTRA B A ASTRA F		6238312 - 90411972 -	103-009			
14-1304	OPEL		VURUNTU SENSÖRÜ OPEL VECTRA C ZAFIRA AZ18XE		6238181 - 09158720 - 9.3066	103-001			
14-1305	OPEL		VURUNTU SENSÖRÜ OPEL VECTRA B ASTRA G ZAFIRA		6238099 - 40937343 - 24456516	103-001			
14-1306	OPEL		VURUNTU SENSÖRÜ OPEL ASTRA F VECTRA A-B		AS10134-12B1 6238370 - 10456240 -	102-025			
14-1307	OPEL		VURUNTU SENSÖRÜ OPEL ASTRA G VECTRA B ZAFIRA A		6238157 - 71739266 - 6238197	102-033			
14-1308	OPEL		VURUNTU SENSÖRÜ OPEL ASTRA G OMEGA B VECTRA C ZAFIRA A		6238415 - 90530434 -	102-001			
14-1501	VOLKSWAGEN		VURUNTU SENSÖRÜ AUDI A3 TT VW GOLF IV VI VII JETTA POLO		030905377C - YM2112A699BA - 95560612500	102-055			
14-1502	VOLKSWAGEN - AUDI - SKODA		VURUNTU SENSÖRÜ VW PASSAT- JETTA- SCIROCCO- AUDI A4- A6- A8- SKODA		034905377A - 053905377 - 054905377A	103-009			
14-1503	VOLKSWAGEN		VURUNTU SENSÖRÜ VW GOLF IV BORA BETTLE		030905377A - 0041539028 -	102-015K			
14-1504	VOLKSWAGEN		VURUNTU SENSÖRÜ VW PASSAT JETTA		021905377E	103-019			
14-1505	VOLKSWAGEN - AUDI - SEAT - SKODA		VURUNTU SENSÖRÜ VW GOLF IV BORA - AUDI A3 - SEAT TOLEDO LEON - SKODA OCTAVIA		06A905377B	103-019			
14-1506	VOLKSWAGEN		VURUNTU SENSÖRÜ VW PASSAT 1.8 AWT		06C905377	103-019			
14-1507	VOLKSWAGEN - AUDI		VURUNTU SENSÖRÜ AUDI A4 A6 A8 - VW PASSAT		054905377G - AB37214020 - 3600080E	103-009			
14-1508	VOLKSWAGEN - AUDI		VURUNTU SENSÖRÜ VW JETTA PASSAT - AUDI A4 A6		07D905377 - S107583008Z -	103-019			
14-1509	VOLKSWAGEN		VURUNTU SENSÖRÜ VW GOLF III PASSAT		037905377A - 037905377 - 21905377A	103-009			
14-1510	VOLKSWAGEN - AUDI - SKODA		VURUNTU SENSÖRÜ AUDI A3 - VW GOLF IV - SKODA FABIA		06A905377A - 9.3065 -	103-009			
14-1511	VOLKSWAGEN		VURUNTU SENSÖRÜ VW GOLF IV BORA		06A905377	103-009			
