SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
25-1000	RENAULT	BEYAZ	YAG MUSURU RENAULT R9-R19-R21-KANGOO-CLIO-MEGANE ( 0.30 BAR )		7700777660 - 8200671285 -	101-001			
25-1001	RENAULT	YEŞİL	YAG MUSURU RENAULT CLIO II-KANGOO-LAGUNA-MEGANE-SCENIC-MASTER ( 0.20 BAR YESIL )		7700417970 - 8200671286 -	101-001			
25-1002	RENAULT - DACIA	GRİ	YAĞ MÜŞÜRÜ RENAULT CLIO II-SYMBOL - DACIA SANDERO 1.2/1.4/1.6 (0.90 BAR)		7.0153 - 8200062452 - 8200671278	101-001			
25-1003	RENAULT	KALIN DİŞ	YAG MUSURU RENAULT R11 - R19 1.9D - R21 - LAGUNA 2.0 ( 0.35 BAR KALIN DIS )		7700771828	101-001			
25-1004	RENAULT		YAG MUSURU RENAULT R21-LAGUNA I-MEGANE I-CLIO ( 0.21 BAR )		7700834918 - 7700845214 -	101-001			
25-1005	RENAULT YAGSEVEİYESENSORU		YAĞ SEVİYE SENSÖRÜ(SONDASI) RENAULT MEGANE		8200670524	102-015K			
25-1007	RENAULT	KABLOLU	YAG MUSURU RENAULT TWINGO ( 93-96 ) ( 0.21 BAR KABLOLU )		7700823331	101-001			
25-1010	RENAULT - DACIA		YAG MUSURU DACIA DUSTER-LOGAN-SANDERO-LODGY - RENAULT CLIO I-II-MEGANE II ( 0.30 BAR )		8200359633 - 8200671275 -	102-084			
25-1011	RENAULT		YAG MUSURU RENAULT CLIO 1.5		8200670481	101-001			
25-1012	RENAULT - DACIA	GRİ	YAG MUSURU RENAULT CLIO II/III-MEGANE II-LAGUNA II - DACIA DUSTER - NISSAN MICRA III-PRIMERA ( 0.50 BAR )		8200026650 - 8200671279 - 22630-00Q1D	101-001			
25-1013	RENAULT		YAG MUSURU RENAULT CLIO II-KANGOO-MEGANE II-TRAFIC III - DACIA DUSTER-LOGAN-SANDERO ( 0.60 BAR )		8200359627 - 8200671272 - 8200970474	102-084			
25-1014	RENAULT		YAG MUSURU RENAULT CLIO III/IV-MODUS-TWINGO II ( 0.90 BAR )		8200671271 - 8200359629 - 8200367215	102-084			
25-1015	RENAULT - DACIA		YAG MUSURU RENAULT KANGOO II - DACIA LOGAN-SANDERO ( 0.20 BAR )		8200671274 - 6001548045 - 8200670469	102-084			
25-1016	RENAULT - NISSAN - MERCEDES		YAĞ MÜŞÜRÜ RENAULT CLIO IV MEGANE IV CAPTUR - NISSAN QASHQAI - MERCEDES A-CLA (0.60 BAR)		7.0180 252401199R - 252405025R - 252405053R	102-084			
25-1100	FIAT - IVECO		YAG MUSURU FIAT DUCATO II ( 02-06 ) / III ( 06-11 ) - IVECO DAILY ( 0.60 BAR )		504026706 - 504310254 - 5801891612	101-002K			
25-1100-1	FIAT - IVECO		YAG MUSURU FIAT DUCATO II ( 02-06 ) / III ( 06-11 ) - IVECO DAILY ( 0.80 BAR )		504026706 - 504310254 - 5801891612	101-002K			
25-1101	FIAT	KULAKSIZ SOKET	YAG MUSURU TOFAŞ M131-SLX - FIAT TEMPRA-PALIO-UNO-EGEA-LINEA-ALBEA ( 0.30 BAR KULAKSIZ SOKET )		71749462 - 60807244 - 7705830	101-002K			
25-1101-1	FIAT	KULAKLI SOKET	YAG MUSURU TOFAŞ M131-SLX - FIAT TEMPRA-PALIO-UNO-EGEA-LINEA-ALBEA ( 0.30 BAR KULAKLI SOKET )		7681395 - 71749462 - 7705830	101-002K			
25-1102	FIAT	KULAKLI SOKET	YAG MUSURU TOFAŞ M131-SLX - FIAT TEMPRA-PALIO-UNO-EGEA-LINEA-ALBEA ( 0.50 BAR KULAKLI SOKET )		71749462 - 60807244 - 7705830	101-002K			
25-1102-1	FIAT	KULAKSIZ SOKET	YAĞ MÜŞÜRÜ TOFAŞ M131-SLX - FIAT TEMPRA-PALIO-UNO-EGEA-LİNEA-ALBEA (0.50 BAR KULAKSIZ SOKET)		YM-110207 71749462 608072244 7705830	101-002K			
25-1102-2	FIAT	KULAKSIZ SOKET	YAĞ MÜŞÜRÜ TOFAŞ M131-SLX - FIAT TEMPRA-PALIO-UNO-EGEA-LİNEA-ALBEA (0.45 BAR KULAKSIZ SOKET)		7706596	101-002K			
25-1103	FIAT-LADA-ALFA ROMEO		YAG MUSURU FIAT TEMPRA-TIPO-UNO-DUCATO-FIORINO - LADA SAMARA - ALFA ROMEO ( 0.35 BAR )		4220161 - 4459907 - 5967744				
25-1203	PEUGEOT - CITROEN		YAG MUSURU PEUGEOT P206-P306-PARTNER - CITROEN BERLINGO-XSARA ( 0.60 BAR )		1131.14 - 1131.45 - 91040130				
25-1204	PEUGEOT - FORD		YAG MUSURU PEUGEOT P305 ( 77-82 ) - P504 - P505 - FORD GRANADA-SIERRA ( 0.80 BAR )		1131.05 - 1131.10 - 75GB-9278-AA				
25-1205	CITROEN - FORD	GRİ	YAG MUSURU CITROEN BERLINGO-C1-C2-C3-C4-C5-NEMO - FORD B MAX-C MAX-FIESTA-FOCUS ( 0.50 BAR )		1131.C5 - 9661477580 - 2S6Q-9278-AA	102-010			
25-1205-1	CITROEN - FORD	GRİ	YAĞ MÜŞÜRÜ CITROEN BERLINGO-C1-C2-C3-C4-C5-NEMO - FORD B MAX-C MAX-FİESTA-FOCUS (0.30 BAR)		YM-110239 1131.C5	102-010			
25-1300	OPEL - CHEVROLET		YAG MUSURU OPEL ASTRA F/G/H-CORSA A/B/C-VECTRA A/B/C - CHEVROLET AVEO-CAPTIVA-CRUZE ( 0.50 BAR )		1252557 - 1252562 - 1252570	101-002K			
25-1302	OPEL - CHEVROLET		YAG MUSURU OPEL CORSA A-KADETT E - VECTRA A ( 3 PIN 0.40 BAR )		1252560 - 90240259 -	103-009			
25-1303	OPEL-CHEVROLET		YAG MUSURU OPEL ASTRA CLASSIC G/H/J-CORSA C/D-MOKKA-VECTRA C - CHEVROLET CRUZE-AVEO ( 0.50 BAR )		1252555 - 1252573 - 6240262	101-002K			
25-1304	OPEL	GRİ	YAG MUSURU OPEL ASTRA G/H ( 0.30 BAR )		6240261 - 24461314 -	101-002K			
25-1305	OPEL - ALFA ROMEO-FIAT	MAVİ	YAG MUSURU OPEL ASTRA G/H- ALFA ROMEO GIULIETTA - FIAT 500-DOBLO ( 2 BAR )		55233423 - 6240262 - 24461315	101-002K			
25-1306	OPEL - CHEVROLET	FİLTRELİ	YAG MUSURU OPEL CORSA D-ASTRA H/G/J-INSIGNIA - CHEVROLET CRUZE ( 0.40 BAR FILITRELI )		55581588 - 93190643 - 1238696	101-002K			
25-1307	OPEL YAGSEVEİYESENSORU		YAĞ SEVİYE SENSÖRÜ OPEL ASTRA-CORSA-MERIVA-VECTRA-TIGRA-ZAFIRA		6235632 - 1235292	102-001			
25-1308	OPEL		YAG MUSURU OPEL ASTRA H-CORSA C/D-VECTRA C ( 0.30 BAR )		4500946 - 6240251 - 6240415	101-002K			
25-1500	AUDI		YAG MUSURU AUDI 80-100-A6-A8 ( 2.5 BAR )		078919081A - 078919081C				
25-1501	VOLKSWAGEN - AUDI	BEYAZ	YAG MUSURU AUDI 80-90-100 - VW GOLF II/III-JETTA-PASSAT-POLO-T4 ( 1.80 BAR BEYAZ )		056919081 - 056919081E -				
25-1502	VOLKSWAGEN - AUDI - SEAT-SKODA	SİYAH	YAG MUSURU AUDI A3-A4 - VW GOLF IV-PASSAT-T4 - SKODA OCTAVIA - SEAT CORDOBA I-IBIZA II ( 1.40 BAR SIYAH )		068919081 - 068919081D -				
25-1503	VOLKSWAGEN - SKODA - SEAT	KAHVERENGİ - GRİ	YAG MUSURU VW GOLF IV-PASSAT-T4-CADDY II - SKODA OCTAVIA - SEAT CORDOBA ( 0.90 BAR KAHVERENGI GRI )		038919081A - 038919081N - 068919081A				
25-1504	VOLKSWAGEN	MAVİ	YAG MUSURU VW POLO CLASSIC-LT 28/35-T4-CADDY II ( 0.30 BAR MAVI )		028919081D - 028919081H -				
25-1505	SKODA		YAG MUSURU SKODA FELICIA-FAVORIT ( 0.50 BAR )		047919081 - 115094201 - 115094202				
25-1506	VOLKSWAGEN	KAHVERENGİ	YAG MUSURU VW BORA-GOLF IV/V-CADDY III-PASSAT-POLO-T4-T5 ( 0.55-0.70 BAR KAHVE )		038919081C - 038919081D - 038919081K	101-004-1			
25-1507	VOLKSWAGEN-SKODA-SEAT YAGSEVEİYESENSORU		YAG SEVIYE SENSORU VW BORA-GOLF IV-PASSAT-POLO III/IV TRANSPORTER T4-T5 - SKODA SUPERB-OCTAVIA - SEAT LEON		1J0907660 - 1J0907660A - 1J0907660B	103-018			
25-1508	VOLKSWAGEN	GRİ	YAG MUSURU VW PASSAT-CADDY-T5-GOLF IV/V-POLO III ( 0.90 BAR GRI )		06A919081 - 038919081B - 038919081F	101-004			
25-1509	VOLKSWAGEN	SİYAH	YAG MUSURU AUDI A3-A4 - VW GOLF IV/V-JETTA-PASSAT-AMOROK- TRANSPORTER T4-T5-T6 ( 1.40 BAR SIYAH )		06A919081A - 06A919081D - 06A919081E	101-004-1			
25-1510	SKODA	YEŞİL EM SOKET	YAG MUSURU VW POLO III ( 94-99 ) - SKODA OCTAVIA ( 96-04 ) ( 0.50 BAR YESIL EM SOKET )		030919081B - 030919081C -				
25-1511	VOLKSWAGEN - SKODA-AUDI	YEŞİL	YAG MUSURU AUDI A3 - VW BORA-GOLF IV/V-JETTA-PASSAT-POLO - SKODA FABIA III-SUPERB ( 0.50 BAR YESIL )		06A919081C - 036919081A - 036919081D	101-004-1			
