SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	AÇIKLAMA	Ü1	Ü2	Ü3	TARİH
40-1000	RENAULT DACIA	3 BAR 95L/h	YAKIT POMPASI RENAULT CLIO - DACIA LOGAN *** 3 BAR 95L/h		8200027963 - 8200057324 - 46475719				
40-1000-1	DACIA	3 BAR 60L/h	YAKIT POMPASI DACIA LOGAN 1,4 - 1,6 16V 2004->    ****3 BAR 60L/h		8200027963 - 8200057324 - 46475719				
40-1001	RENAULT	3 BAR 120 L/H ÇİFT ÇIKIŞ	YAKIT POMPASI RENAULT MEGANE II  >> ÇİFT ÇIKIŞ <<  *** 3 BAR 120 L/h		8200137903 - 0580454002 - 0580453461				
40-1001-1	RENAULT-PEUGEOT	3 BAR 90 L/H	YAKIT POMPASI RENAULT MEGANE II - PEUGEOT   *** 3 BAR/90 L/h		8200137903 - 0580454002 - 0580453461				
40-1002	RENAULT-VOLVO		YAKIT POMPASI RENAULT CLIO, LAGUNA, MEGANE I - VOLVO C70, S70, V70, S90    *** 3 BAR 95 L/h		7700812372 - 7700420306 - 7700827359				
40-1003	RENAULT	3 BAR 150L/H ( DİZEL )	YAKIT POMPASI ( DİZEL ) RENAULT KANGOO 1.9 DCi, TRAFIC, MASTER 2.2 DC    *** 3 BAR 150L/h		7700426361 - 8200639432				
40-1006	RENAULT	4 BAR 120L/H	YAKIT POMPASI RENAULT 19 1.7 - 1.8 1988-1996    *** 4 BAR 120L/h		7700802180 - 0580453044 - 0580453019				
40-1007	RENAULT	ESKİ MODEL	YAKIT POMPASI RENAULT CLIO II, KANGOO 1.2, 1.4, 1.6, 2.0    *** 3 BAR 95L/h		250607248R - 7700418353 - 7700416988				
40-1008	RENAULT-PEUGEOT-ALFA ROMEO	3 BAR 105L/H	YAKIT POMPASI RENAULT R9, R11, R25 - PEUGEOT 305 - ALFA ROMEO 33    *** 3 BAR 105L/h		7700739914 - 6001008001				
40-1009	RENAULT	FİŞLİ	YAKIT POMPASI RENAULT CLIO IV 1.5 DCİ FİŞLİ		172020299R				
40-1010	RENAULT	3 BAR 130 L/H TEK ÇIKIS BENZİNLİ (BOSCH TİPİ)	YAKIT POMPASI MEGANE II  *** 3 BAR 130 L/H  **** MGN II TEK ÇIKIS ŞAMANDIRADA ÇIKAR		8200683188 - 8200029163 - 172020079R				
40-1012	RENAULT-OPEL	4 BAR 120 L/H	YAKIT POMPASI RENAULT 9 11 19 21 25 - OPEL VECTRA A - ASCONA-KADETT    *** 4 BAR 120 L/h		7700687710 - 0580463013 -				
40-1015	RENAULT	SOKETLİ	YAKIT POMPASI 1.5 DCİ RENAULT KANGOO III FLUENCE MEGANE III SOKETLİ		2101-380900 05WPR900 40-1015				
40-1017	RENAULT-OPEL	3 BAR 155L/H ( BENZİNLİ ) DEPO DIŞI	YAKIT POMPASI RENAULT R-19/R-21 - OPEL VECTRA A   *** 3 BAR 155L/h ( BENZİNLİ ) ***DEPO DIŞI		0580464070 - 7700582695 - 7700722393				
40-1100	FIAT-PEUGEOT-CITROEN	3 BAR 85L/H	YAKIT POMPASI FIAT PALIO - PEUGEOT P306-P406-PARTNER - CITROEN BERLINGO - RENAULT ESPACE		7747117 - 46473397 -				
40-1100-1	FIAT	1 BAR 95L/H	YAKIT POMPASI FIAT UNO 1,4  87-96  -- UNIVERSAL		1525.52				
40-1100-2	FIAT PEUGEOT		YAKIT POMPASI FIAT PALIO - PEUGEOT P306-P406-PARTNER -CITROEN BERLINGO- RENAULT ESPACE *** 3 BAR 100L/h		1525.52				
40-1101	FIAT-KIA-DAEWOO-TOYOTA	3 BAR 90 L/H FİLTRELİ	YAKIT POMPASI FIAT TIPO - KIA RIO-SPORTAGE - DAEWOO    *** 3 BAR 90 L/H FİLTRELİ		46443874 - 0580453449 -				
40-1102	FIAT	3 BAR 95L/H	YAKIT POMPASI FIAT PUNTO - BRAVO - BRAVA - MAREA - SLX   *** 3 BAR 95L/h		4075445 - 4419617 - 46475714				
40-1102-ST	FIAT	SET *** 3 BAR	YAKIT POMPASI FIAT PUNTO - BRAVO - BRAVA - MAREA - SLX   ** SET    *** 3 BAR		4075445 - 4419617 - 46475714				
40-1103	FIAT	1 BAR 120 L/H	YAKIT POMPASI FIAT PANDA, TEMPRA MPI TIPO   *** 1 BAR 120 L/h		7788694 - 23100-87509 - 60205694				
40-1104	FIAT		YAKIT POMPASI FIAT LINEA 1.4		51782427				
40-1105	FIAT-ALFA ROMEO	3 BAR ( DİZEL )	YAKIT POMPASI FIAT DOBLO - 1,3 JTD / 1.9 JTD  / 2,3 JTD - DOBLO - DUCATO-PUNTO - ALFA ROMEO **** 3 BAR ( DİZEL )		46447569 - 0580464981				
40-1105 GUA	FIAT-ALFA ROMEO	3 BAR ( DİZEL ) DEPO İÇİ İÇTEN	YAKIT POMPASI FIAT DOBLO - 1,3 JTD - DUCATO, PUNTO - ALFA ROMEO    *** 3 BAR ( DİZEL )		46447569 - 0580464981				
40-1106	FIAT-HYUNDAI	170 L/H DEPO DIŞI ( DİZEL )	YAKIT POMPASI FIAT DOBLO 1,3 D - ALBEA 1,3 - HYUNDAI ACCENT ( DİZEL ) 170 L/h		46822767 - 46888767 - 0580464090				
40-1110	FIAT-CITROEN-OPEL	1 BAR 100L/H	YAKIT POMPASI FIAT UNO, BRAVA, BRAVO - CITROEN - OPEL CORSA B    ***1 BAR 100L/H		71737902 - 71744424 - 46474139				
40-1114	FIAT	3 BAR 95L/H	YAKIT POMPASI FIAT TEMPRA-TIPO- TOFAŞ SLX *** 3 BAR 95L/H		46474141 - 46831949 - 7750715				
40-1114-1	FIAT	5 BAR	YAKIT POMPASI FIAT TEMPRA, TIPO, TOFAŞ SLX *** 5 BAR		46831949 - 46474141 - 7750715				
40-1116	FIAT-LAND ROVER	3 BAR 100L/H	YAKIT POMPASI FIAT TEMPRA - TIPO 1.6+1.8+2.0 - LAND ROVER - RANGE ROVER 3.5 + 3.9 *** 3 BAR 100L/H		25163464 - 25117454 - 25163328				
40-1117	FIAT-MERCEDES	3 BAR 170L/H	YAKIT POMPASI FIAT FIORINO, DUCATO - MERCEDES SPRINTER, VITO, VIANO CDI 91-99 *** 3 BAR 170L/h		580102001				
40-1118	FIAT	3 BAR 95L/H	YAKIT POMPASI FIAT PALIO 1.4 - TEMPRA, TIPO, BRAVA, BRAVO, MAREA 3 BAR 95L/H		46411584 - 7750713 -				
40-1123	FIAT-RENAULT	4 BAR 120L/H	YAKIT POMPASI FIAT UNO - RENAULT R21, R25       **** 4 BAR 120L/h		7554136 - 7597693 - 1336679				
40-1125	FIAT-OPEL-RENAULT	3 BAR/140 L/H	YAKIT POMPASI FIAT EGEA, LINEA - OPEL ASTRA J, ASTRA K, CORSA D, CORSA E - RENAULT MEGANE III, MEGANE IV, FLUENCE   *** 3 BAR 140 L/h		0580100000 - 0580100008 - 172022485R				
40-1200	PEUGEOT-CITROEN	3 BAR 130L/H	YAKIT POMPASI PEUGEOT 307 - CITROEN C4   ******* 3 BAR 130L/H		TTP479 - 1525.KJ - 1525.Q4				
40-1202	PEUGEOT	3 BAR 95L/H	YAKIT POMPASI PEUGEOT PARTNER 206, 306, 406, 1.4 - 1.6 - 2.0 -    *** 3 BAR 95L/h		1525.H8 - 1525.Q8 - 1525.S9				
40-1208	PEUGEOT	3 BAR 150L/H	YAKIT POMPASI PEUGEOT 206 / 307 / 406		0580453911 - 1525.EA - 1525.N9				
40-1210	PEUGEOT-CITROEN	3 BAR 140L/H	YAKIT POMPASI PEUGEOT PARTNER 2.0 HDI - CITROEN BERLINGO 2.0 HDI, XSARA, PICASSO    **** 3 BAR 140L/h		1525.R2 - 0986580351 - 09639114580				
40-1211	PEUGEOT-RENAULT	3 BAR 105 L/H	YAKIT POMPASI PEUGEOT 206, 307, 406, 407 - RENAULT CLIO II 1.2 - 1.4 - 1.6  ***** 3 BAR 105 L/H		1525.81 - 1525.H8 - 96332946				
40-1301	OPEL	3 BAR 100 L/H	YAKIT POMPASI OPEL ASTRA G / CORSA B / VECTRA B  1.4 - 1.6		815037 - 0580453465 -				
40-1302	OPEL	3 BAR 95 L/H	YAKIT POMPASI OPEL ASTRA G / CORSA B / VECTRA B		0580314097 - 815019 -				
40-1307	OPEL		YAKIT POMPASI OPEL ASTRA F - ASTRA G - VECTRA A - VECTRA B   *** 3 BAR *** 100 L/h		815031 - 0580464070 -				
40-1307-1	OPEL	3 BAR 130L/H	YAKIT POMPASI OPEL ASTRA F - CORSA B - VECTRA B 2.0 16V - TIGRA   *** 3 BAR *** 130L/h		815031 - 0580464070 -				
40-1307-2	OPEL	3 BAR 80L/H	YAKIT POMPASI OPEL ASTRA F - ASTRA G - CORSA A - CORSA B - VECTRA A      ***** 3BAR *** 80L/h		815031 - 0580464070 -				
40-1308	OPEL	3 BAR 100 L/H FİLTRELİ	YAKIT POMPASI OPEL ASTRA H ( 03-14 ) CORSA D ( 06-15 ) FİAT İDEA  / PUNTO II ( 99-10 )		0580454007 /  815037 / 93188874 / 5815058				
40-1309	FIAT-RENAULT-CITROEN		YAKIT POMPASI GM - OPEL ASTRA - FIAT -RENAULT - FORD ESCORT   ***3 BAR 90 L/h FİLTRELİ		0580454093 - 96447642 - 95949345				
40-1317	OPEL	1 BAR 100 L/H FİLTRELİ	YAKIT POMPASI OPEL ASTRA F - ASTRA G - CORSA B - VECTRA A    **** 1 BAR 100 L/h FİLTRELİ		815012 - 815073 - 0580314154				
40-1400	HYUNDAI-KIA-DAEWOO	3 BAR 80 L/H	YAKIT POMPASI DAEWOO - KIA - HYUNDAI   **** 3 BAR 80 L/H		5CA235 - GSS367 - GCA3348				
40-1500	VOLKSWAGEN	1 BAR 140 L/H	YAKIT POMPASI VW GOLF III, POLO, JETTA III     *** 1 BAR 140 L/h		1H0906091 - 1H0906091D -				
40-1500-1	VOLKSWAGEN-SEAT	3 BAR 100L/H	YAKIT POMPASI VW GOLF III, GOLF IV, BORA, POLO, TRANSPORTER T4 - SEAT CORDOBA    *** 3 BAR 100L/H		1H0906091 - 1H0906091D				
40-1501	VOLKWAGEN	4,5 BAR 180L/H	YAKIT POMPASI VW - VAG GRUP    *** 4,5 BAR 180L/h		8K0906095B				
40-1502	VOLKSWAGEN	0,5 BAR 140 L/H	YAKIT POMPASI VW TRANSPORTER T5    *** 0,5 BAR 140 L/H		7H0919081 - 11505K4931				
40-1503	AUDI	5 BAR 180L/H	YAKIT POMPASI AUDI A4 - A5 - A6    *** 5 BAR 180L/h		8K0906089A				
40-1504	VOLKSWAGEN-AUDI	3,2 BAR 110 L/H	YAKIT POMPASI VW PASSAT - AUDI A6    *** 3,2 BAR *** 110 L/H		3B0906019				
40-1505	VOLKSWAGEN	3 BAR 130 L/H	YAKIT POMPASI VW GOLF VI 1.2 - 1.4 - 2.0   TSI / TFSI		1K0919051BH - 1K0919051CL -				
40-1506	VOLKSWAGEN	0.5 BAR 180L/H	YAKIT POMPASI VW PASSAT 1.6/1.9/2.0 TDI-PASSAT CC 2.0    *** 0.5 BAR 180L/h		3C0919050E - 3C0919050G - 3C0919050B				
40-1506-1	VOLKSWAGEN	0.5 BAR 180L/H	YAKIT POMPASI VW PASSAT 1.6 - 1.9 - 2.0 TDI - PASSAT CC 2.0    *** 0.5 BAR 180L/h		3C0919050A - 1J0919087 -				
40-1507	AUDI	4 BAR 100L/H	YAKIT POMPASI AUDI A4 - A6    *** 4 BAR 100L/h		8A0906091GA - 0580314068 -				
40-1508	VOLKSWAGEN	3 BAR 210L/H	YAKIT POMPASI VW PASSAT B7 1.8 TSI    *** 3 BAR 210L/h		3C0919051AK - 3C0919051AE - 3C0919051C				
40-1510	VOLKSWAGEN-AUDI	5 BAR 110L/H	YAKIT POMPASI AUDI Q7 - VW TOUAREG    *** 5 BAR 110L/H		1K0906089B				
40-1511	VOLKSWAGEN		YAKIT POMPASI VW PASSAT 1.6 FSI		1K0906051CB				
40-1515	VOLKSWAGEN-SEAT	3 BAR 115L/H	YAKIT POMPASI FİLTRELİ VW GOLF II, JETTA II, LT35 - SEAT TOLEDO     *** 3 BAR 115L/H		191906090 - 191906091 - 191906091E				
40-1516	VOLKSWAGEN-AUDI-SEAT	6 BAR 110L/H	YAKIT POMPASI AUDI A6 - SEAT TOLEDO - VW GOLF II   *** 6 BAR 110L/H		895906091A - 895906091 - 895906089E				
40-1528	VOLKSWAGEN-SKODA	4 BAR 110L/H KALIN TİP BENZİN	YAKIT POMPASI VW GOLF IV, BORA - SEAT CORDOBA - SKODA    *** 4 BAR 110l/h		1J0919051D - 1J0919087C - 1J0919051H				
40-1530	VOLKSWAGEN	3 BAR 130L/H	YAKIT POMPASI VW AMAROK 2.0 TDI 2012>   *** 3BAR 130L/h		2H0919050B - 2H0919050D				
40-1531	VOLKSWAGEN-AUDI-SKODA	4 BAR 105L/H	YAKIT POMPASI AUDI A3 - SKODA OCTAVIA II - VW GOLF V, VI   *** 4 BAR 105L/H		993762212				
40-1535	VOLKSWAGEN-SEAT-SKODA	0.5 BAR 120L/H	YAKIT POMPASI VW GOLF IV 1.9, GOLF V 1.9 TDI - SEAT LEON TDI - SKODA OCTAVIA TDI    *** 0.5 BAR 120L/H		1K0919050J - 1K0919050D - 1K0919050G				
40-1537	VOLKSWAGEN	3 BAR 100L/H	YAKIT POMPASI VW PASSAT 1.8 - 2.0 - TRANSPORER T4    *** 3 BAR 100L/H		580453012				
40-1538	VOLKSWAGEN	4 BAR 150L/H	YAKIT POMPASI VW TOUAREG 3.2 V6, 3.6 V6, 4.2 V8, 6.0 V12    *** 4 BAR 150L/h		7L6919087G - 7L6919087F -				
40-1539	VOLKSWAGEN-AUDI	4 BAR 140L/H	YAKIT POMPASI VW GOLF IV-V-JETTA III-IV - PASSAT - AUDI A3 VAG 2.0 TDI    *** 4 BAR 140L/H		1K0906089A - 5N0906129B -				
40-1540	VOLKSWAGEN	0.2 BAR 130L/H	YAKIT POMPASI TRAKTÖR - VW GOLF I 74- - GOLF II 83- - POLO I 75-    *** 0.2 BAR 130L/h		AL78405				
40-1541	VOLKSWAGEN	0.2 BAR 120 L/H	YAKIT POMPASI VW GOLF II, PASSAT 88-97    *** 0.2 BAR 120 L/h		191906092A - 191906092C -				
40-1542	AUDI	4 BAR 100L/H	YAKIT POMPASI AUDI A4 - A6    *** 4 BAR 100L/h		8A0906091G - 8A0906091A -				
40-1543	VOLKSWAGEN	ÇİFT ÇIKIŞ UZUN BORULU	YAKIT POMPASI VW GOLF, JETTA    3 BAR *** ÇİFT ÇIKIŞ UZUN BORULU		30169				
40-1600	BMW	3.5 BAR 130L/H	YAKIT POMPASI BMW 5.20i ( 89-95 ) - 5.25 - 5.18i    *** 3.5 BAR 130L/H		0580453021 - 0580453040				
40-1601	BMW	1 BAR 120 L/H DİZEL	YAKIT POMPASI BMW 5 E39 95-04 - AUDI A4 1.9 TDI    *** 1 BAR 120 L/h DİZEL		16141183178 - 16141183389 - 8E0906087E				
40-1602	BMW	4 BAR 105L/H ( YATAY ÇIKIŞ )	YAKIT POMPASI BMW 5 SERİ - E39 ( 95-04 )    *** 4 BAR 105L/H ( YATAY ÇIKIŞ )		16141183216 - 16141183176				
40-1602-1	BMW	4 BAR 120L/H ( DİKEY ÇIKIŞ )	YAKIT POMPASI BMW X5 ( E53 )    *** 4 BAR 120L/H ( DİKEY ÇIKIŞ )		16116752626 - 16116755043 - 16116753898				
40-1603	BMW	3.5 BAR 120 L/H	YAKIT POMPASI BMW 3 ( E36 ) *** 3.5 BAR 120 L/H		16141179415 - 16141182842 - 16141183139				
40-1604	BMW	0.5 BAR 85 L/H ( DİZEL )	YAKIT POMPASI BMW 5 ( E36 ) 94-00    *** 0.5 BAR 85 L/h ( DİZEL ) ( alt kısmı soldan çıkış )		16141182079 - 16141184748 - 60209301				
40-1604-1	BMW	0.5 BAR 85 L/H ( DİZEL )	YAKIT POMPASI BMW 5 ( E36 ) 94-00    *** 0.5 BAR 85 L/h ( DİZEL ) ( alt kısmı sağdan çıkış )		16141182079 - 16141184748				
40-1605	UNIVERSAL		YAKIT POMPASI		986580138				
40-1606	BMW	4 BAR 110 L/H	YAKIT POMPASI BMW E46    *** 4 BAR 110L/h		16146752499 - 16146766942 -				
40-1608	BMW	3 BAR 140L/H	YAKIT POMPASI BMW 5 ( E34 )    *** 3 BAR 140L/H		16141181354 - 16141178039 - 16144138604				
40-1609	BMW	3.5 BAR 120L/H	YAKIT POMPASI BMW 5 ( E34 )    *** 3.5 BAR 120L/H		16141180318				
40-1610	BMW	3.5 BAR 175 L/M ( DİZEL )	YAKIT POMPASI BMW 7 ( E38 ), 5 ( E39 ), 3 ( E46 ) - LAND ROVER FRELANDER    *** 3.5 BAR 175 L/H ( DİZEL )		16144024378 - 16126757607 - 16126758525				
40-1611	BMW	3 BAR 105L/H	YAKIT POMPASI BMW 1 ( E81-E82 ) - 3 ( E90-E91 )    *** 3 BAR 105L/H		16147197075 - 16117159144				
40-1612	BMW	3 BAR 130L/H	YAKIT POMPASI BMW 5 ( E34 ) - BMW 7 ( E32 )    *** 3 BAR 130L/H		16141181862 - 16141181864				
40-1613	LAND ROVER	6 BAR 150L/H	YAKIT POMPASI LAND ROVER DISCOVERY II 2.5 Td5 4×4    *** 6 BAR 150L/H		WFX000280				
40-1614	BMW	3 BAR 130 L/H	YAKIT POMPASI BMW 3 ( E30, E36, E46 )    *** 3 BAR 130 L/h		16141181075 - 16141179992 -				
40-1614-1	BMW	3 BAR 145 L/H	YAKIT POMPASI BMW 5 SERİSİ E34 88-97, E32 86-94   *** 3 BAR 145 L/h		16141182887 - 16141180318 - 16141181294				
40-1614-2	BMW	3 BAR	YAKIT POMPASI BMW E36 318 - 320    *** 3 BAR		16141189111				
40-1615	BMW	4 BAR 140L/H	YAKIT POMPASI BMW 3 ( E46 ) - 5 ( E39 ) - 7 ( E38 )    *** 4 BAR 140L/H		16114028194 - 16146757305 - 16146676383				
40-1617	BMW	3 BAR 130L/H	YAKIT POMPASI BMW 5 ( E39 )    *** 3 BAR 130L/H		16146752368				
40-1618	BMW	3 SERİSİ	YAKIT POMPASI BMW G30 G38 G32 G14 G15 G16  ( ORJİNAL ÜRÜN )		16117476103 / 16117408467 7476103				
